lsoa21cd,tov_count
E01000011,12
E01000046,26
E01000051,7
E01000077,33
E01000083,25
E01032580,20
E01034472,16
E01000006,27
E01000009,24
E01000022,9
E01000074,34
E01000084,28
E01000089,20
E01000097,29
E01000113,29
E01034470,10
E01034473,16
E01034477,24
E01000012,27
E01000017,31
E01000024,21
E01000038,14
E01000040,25
E01000041,32
E01000043,24
E01000050,17
E01000058,22
E01000076,32
E01000081,28
E01000082,33
E01000085,26
E01000086,19
E01000025,28
E01000028,24
E01000033,22
E01000042,29
E01000052,31
E01000055,26
E01000063,43
E01000078,37
E01034474,20
E01000016,30
E01000018,22
E01000044,10
E01000049,16
E01000066,39
E01000067,35
E01000101,34
E01000108,22
E01000110,19
E01000021,43
E01000037,23
E01000054,19
E01000059,22
E01034471,27
E01000007,14
E01000008,51
E01000057,28
E01000062,44
E01000064,24
E01000065,30
E01000099,57
E01000104,25
E01000106,34
E01000114,51
E01000019,16
E01000053,23
E01000100,33
E01033587,53
E01034469,27
E01034479,19
E01000020,28
E01000069,28
E01000075,46
E01000088,24
E01000091,53
E01000102,25
E01000013,29
E01000015,24
E01000068,21
E01000045,44
E01000056,44
E01000071,29
E01000079,26
E01000105,31
E01000035,38
E01000073,34
E01000087,42
E01000098,33
E01000032,39
E01000072,26
E01000080,28
E01000093,20
E01000111,52
E01000112,55
E01000014,25
E01000029,36
E01000070,51
E01000061,39
E01000103,32
E01000036,21
E01000107,17
E01000096,61
E01000030,88
E01034475,36
E01034476,102
E01000031,39
E01000094,34
E01000060,62
E01000034,22
E01000027,38
E01000039,24
E01000090,43
E01034478,17
E01000095,101
E01033917,5
E01033918,12
E01033919,5
E01033921,5
E01000133,16
E01000181,25
E01000185,18
E01000189,21
E01000226,13
E01000306,21
E01000312,19
E01033916,18
E01033922,13
E01033923,8
E01000126,14
E01000134,7
E01000137,16
E01000145,19
E01000151,13
E01000154,5
E01000165,23
E01000217,17
E01000219,22
E01000236,26
E01033913,16
E01000140,24
E01000143,10
E01000147,14
E01000182,19
E01000216,27
E01000224,17
E01000238,26
E01000242,22
E01000277,14
E01000295,24
E01000297,20
E01000299,20
E01000300,19
E01000304,16
E01000317,21
E01000319,29
E01033915,10
E01000130,20
E01000163,22
E01000179,20
E01000215,22
E01000220,19
E01000269,24
E01000293,24
E01033920,4
E01000120,27
E01000127,10
E01000157,15
E01000180,16
E01000225,35
E01000245,24
E01000286,8
E01000309,22
E01000311,39
E01000314,28
E01000321,24
E01000117,28
E01000132,14
E01000144,28
E01000153,14
E01000174,24
E01000202,28
E01000265,33
E01000320,28
E01000324,19
E01033912,13
E01033914,10
E01000124,24
E01000142,25
E01000150,38
E01000156,27
E01000162,28
E01000169,25
E01000176,21
E01000190,24
E01000197,25
E01000205,35
E01000227,29
E01000251,33
E01000291,11
E01000292,16
E01000191,17
E01000218,17
E01000252,26
E01000267,26
E01000289,14
E01033924,11
E01000115,29
E01000122,18
E01000128,12
E01000131,16
E01000152,28
E01000158,22
E01000170,40
E01000177,16
E01000263,17
E01000281,27
E01000287,13
E01000294,19
E01000313,24
E01000138,9
E01000146,31
E01000168,30
E01000171,47
E01000183,15
E01000187,18
E01000192,21
E01000195,23
E01000196,22
E01000285,5
E01000298,42
E01000315,22
E01000323,30
E01000116,31
E01000214,29
E01000231,18
E01000235,21
E01000243,18
E01000270,21
E01000302,13
E01000322,21
E01000200,34
E01000203,40
E01000229,19
E01000232,19
E01000247,21
E01000271,36
E01000303,25
E01000318,22
E01000136,15
E01000141,36
E01000159,32
E01000160,36
E01000173,26
E01000201,37
E01000204,28
E01000237,28
E01000278,25
E01000296,15
E01000316,63
E01000161,21
E01000166,25
E01000194,30
E01000199,14
E01000208,20
E01000209,34
E01000248,21
E01000284,28
E01000301,25
E01000139,24
E01000167,20
E01000186,26
E01000198,33
E01000222,15
E01000223,24
E01000234,17
E01000274,34
E01000121,15
E01000123,22
E01000164,38
E01000178,26
E01000184,21
E01000193,24
E01000210,34
E01000213,34
E01000239,11
E01000240,23
E01000288,19
E01000119,34
E01000212,26
E01000230,31
E01000233,20
E01000241,28
E01000268,56
E01000273,31
E01000283,17
E01000307,51
E01000129,11
E01000135,13
E01000175,28
E01000211,33
E01000221,32
E01000244,19
E01000272,34
E01000275,26
E01000172,21
E01000207,38
E01000257,34
E01000308,10
E01033925,11
E01000118,29
E01000264,30
E01000266,33
E01000310,39
E01000250,26
E01000276,21
E01000280,15
E01000249,18
E01000282,28
E01000256,20
E01000260,20
E01000261,19
E01000305,27
E01000259,29
E01000206,36
E01000255,31
E01000228,26
E01000258,21
E01000188,27
E01000246,23
E01000254,23
E01000253,17
E01000290,18
E01033911,22
E01000279,15
E01000373,12
E01000411,27
E01000438,10
E01000452,18
E01000456,13
E01000464,35
E01033789,29
E01000426,20
E01033790,18
E01000368,14
E01000396,27
E01000401,16
E01000431,15
E01000347,19
E01000357,9
E01000370,16
E01000419,15
E01000423,20
E01000453,15
E01000463,9
E01000326,23
E01000366,17
E01000409,20
E01000410,23
E01000415,16
E01000416,34
E01000435,23
E01000454,12
E01000455,19
E01000337,14
E01000341,5
E01000422,35
E01000446,11
E01000342,12
E01000355,10
E01000371,16
E01000393,16
E01000395,9
E01000436,18
E01000437,14
E01000439,27
E01000441,15
E01000450,22
E01000459,14
E01000467,23
E01000325,12
E01000345,14
E01000348,13
E01000364,20
E01000369,19
E01000413,8
E01000440,9
E01000443,10
E01000451,22
E01000333,21
E01000354,13
E01000372,20
E01000384,18
E01000392,26
E01000404,35
E01000424,20
E01000465,34
E01000469,24
E01000336,32
E01000380,16
E01000394,9
E01000425,14
E01000458,10
E01000470,34
E01000327,11
E01000332,15
E01000340,9
E01000343,6
E01000349,22
E01000356,13
E01000379,13
E01000398,11
E01000402,32
E01000414,22
E01000427,25
E01032566,22
E01000334,12
E01000358,15
E01000365,12
E01000367,18
E01000391,19
E01000412,28
E01000420,20
E01000449,17
E01000330,9
E01000353,5
E01000362,32
E01000421,16
E01000442,18
E01000461,10
E01000339,21
E01000360,32
E01000387,11
