Lower layer Super Output Areas Code,Car or van availability (3 categories),Observation
E01000001,Does not apply,0
E01000001,No cars or vans in household,555
E01000001,1 or more cars or vans in household,283
E01000002,Does not apply,0
E01000002,No cars or vans in household,578
E01000002,1 or more cars or vans in household,246
E01000003,Does not apply,0
E01000003,No cars or vans in household,826
E01000003,1 or more cars or vans in household,191
E01000005,Does not apply,0
E01000005,No cars or vans in household,375
E01000005,1 or more cars or vans in household,104
E01000006,Does not apply,0
E01000006,No cars or vans in household,183
E01000006,1 or more cars or vans in household,371
E01000007,Does not apply,0
E01000007,No cars or vans in household,726
E01000007,1 or more cars or vans in household,465
E01000008,Does not apply,0
E01000008,No cars or vans in household,281
E01000008,1 or more cars or vans in household,267
E01000009,Does not apply,0
E01000009,No cars or vans in household,303
E01000009,1 or more cars or vans in household,298
E01000011,Does not apply,0
E01000011,No cars or vans in household,217
E01000011,1 or more cars or vans in household,256
E01000012,Does not apply,0
E01000012,No cars or vans in household,389
E01000012,1 or more cars or vans in household,394
E01000013,Does not apply,0
E01000013,No cars or vans in household,216
E01000013,1 or more cars or vans in household,403
E01000014,Does not apply,0
E01000014,No cars or vans in household,195
E01000014,1 or more cars or vans in household,439
E01000015,Does not apply,0
E01000015,No cars or vans in household,308
E01000015,1 or more cars or vans in household,528
E01000016,Does not apply,0
E01000016,No cars or vans in household,202
E01000016,1 or more cars or vans in household,425
E01000017,Does not apply,0
E01000017,No cars or vans in household,187
E01000017,1 or more cars or vans in household,411
E01000018,Does not apply,0
E01000018,No cars or vans in household,190
E01000018,1 or more cars or vans in household,455
E01000019,Does not apply,0
E01000019,No cars or vans in household,136
E01000019,1 or more cars or vans in household,363
E01000020,Does not apply,0
E01000020,No cars or vans in household,195
E01000020,1 or more cars or vans in household,469
E01000021,Does not apply,0
E01000021,No cars or vans in household,208
E01000021,1 or more cars or vans in household,383
E01000022,Does not apply,0
E01000022,No cars or vans in household,120
E01000022,1 or more cars or vans in household,357
E01000024,Does not apply,0
E01000024,No cars or vans in household,116
E01000024,1 or more cars or vans in household,343
E01000025,Does not apply,0
E01000025,No cars or vans in household,253
E01000025,1 or more cars or vans in household,441
E01000027,Does not apply,0
E01000027,No cars or vans in household,203
E01000027,1 or more cars or vans in household,459
E01000028,Does not apply,0
E01000028,No cars or vans in household,249
E01000028,1 or more cars or vans in household,373
E01000029,Does not apply,0
E01000029,No cars or vans in household,147
E01000029,1 or more cars or vans in household,534
E01000030,Does not apply,0
E01000030,No cars or vans in household,316
E01000030,1 or more cars or vans in household,590
E01000031,Does not apply,0
E01000031,No cars or vans in household,148
E01000031,1 or more cars or vans in household,447
E01000032,Does not apply,0
E01000032,No cars or vans in household,234
E01000032,1 or more cars or vans in household,489
E01000033,Does not apply,0
E01000033,No cars or vans in household,195
E01000033,1 or more cars or vans in household,357
E01000034,Does not apply,0
E01000034,No cars or vans in household,153
E01000034,1 or more cars or vans in household,361
E01000035,Does not apply,0
E01000035,No cars or vans in household,192
E01000035,1 or more cars or vans in household,403
E01000036,Does not apply,0
E01000036,No cars or vans in household,130
E01000036,1 or more cars or vans in household,342
E01000037,Does not apply,0
E01000037,No cars or vans in household,103
E01000037,1 or more cars or vans in household,486
E01000038,Does not apply,0
E01000038,No cars or vans in household,132
E01000038,1 or more cars or vans in household,430
E01000039,Does not apply,0
E01000039,No cars or vans in household,156
E01000039,1 or more cars or vans in household,486
E01000040,Does not apply,0
E01000040,No cars or vans in household,268
E01000040,1 or more cars or vans in household,388
E01000041,Does not apply,0
E01000041,No cars or vans in household,178
E01000041,1 or more cars or vans in household,423
E01000042,Does not apply,0
E01000042,No cars or vans in household,275
E01000042,1 or more cars or vans in household,379
E01000043,Does not apply,0
E01000043,No cars or vans in household,157
E01000043,1 or more cars or vans in household,313
E01000044,Does not apply,0
E01000044,No cars or vans in household,292
E01000044,1 or more cars or vans in household,365
E01000045,Does not apply,0
E01000045,No cars or vans in household,201
E01000045,1 or more cars or vans in household,375
E01000046,Does not apply,0
E01000046,No cars or vans in household,213
E01000046,1 or more cars or vans in household,448
E01000049,Does not apply,0
E01000049,No cars or vans in household,242
E01000049,1 or more cars or vans in household,333
E01000050,Does not apply,0
E01000050,No cars or vans in household,269
E01000050,1 or more cars or vans in household,362
E01000051,Does not apply,0
E01000051,No cars or vans in household,223
E01000051,1 or more cars or vans in household,210
E01000052,Does not apply,0
E01000052,No cars or vans in household,323
E01000052,1 or more cars or vans in household,474
E01000053,Does not apply,0
E01000053,No cars or vans in household,267
E01000053,1 or more cars or vans in household,384
E01000054,Does not apply,0
E01000054,No cars or vans in household,201
E01000054,1 or more cars or vans in household,442
E01000055,Does not apply,0
E01000055,No cars or vans in household,179
E01000055,1 or more cars or vans in household,388
E01000056,Does not apply,0
E01000056,No cars or vans in household,178
E01000056,1 or more cars or vans in household,385
E01000057,Does not apply,0
E01000057,No cars or vans in household,200
E01000057,1 or more cars or vans in household,326
E01000058,Does not apply,0
E01000058,No cars or vans in household,221
E01000058,1 or more cars or vans in household,478
E01000059,Does not apply,0
E01000059,No cars or vans in household,163
E01000059,1 or more cars or vans in household,407
E01000060,Does not apply,0
E01000060,No cars or vans in household,342
E01000060,1 or more cars or vans in household,471
E01000061,Does not apply,0
E01000061,No cars or vans in household,379
E01000061,1 or more cars or vans in household,373
