Lower layer Super Output Areas Code,Ethnic group (6 categories),Observation
E01000001,Does not apply,0
E01000001,"Asian, Asian British or Asian Welsh",158
E01000001,"Black, Black British, Black Welsh, Caribbean or African",11
E01000001,Mixed or Multiple ethnic groups,57
E01000001,White,1181
E01000001,Other ethnic group,68
E01000002,Does not apply,0
E01000002,"Asian, Asian British or Asian Welsh",181
E01000002,"Black, Black British, Black Welsh, Caribbean or African",9
E01000002,Mixed or Multiple ethnic groups,60
E01000002,White,1084
E01000002,Other ethnic group,50
E01000003,Does not apply,0
E01000003,"Asian, Asian British or Asian Welsh",156
E01000003,"Black, Black British, Black Welsh, Caribbean or African",57
E01000003,Mixed or Multiple ethnic groups,101
E01000003,White,1195
E01000003,Other ethnic group,107
E01000005,Does not apply,0
E01000005,"Asian, Asian British or Asian Welsh",355
E01000005,"Black, Black British, Black Welsh, Caribbean or African",119
E01000005,Mixed or Multiple ethnic groups,78
E01000005,White,425
E01000005,Other ethnic group,126
E01000006,Does not apply,0
E01000006,"Asian, Asian British or Asian Welsh",885
E01000006,"Black, Black British, Black Welsh, Caribbean or African",200
E01000006,Mixed or Multiple ethnic groups,70
E01000006,White,605
E01000006,Other ethnic group,85
E01000007,Does not apply,0
E01000007,"Asian, Asian British or Asian Welsh",929
E01000007,"Black, Black British, Black Welsh, Caribbean or African",828
E01000007,Mixed or Multiple ethnic groups,183
E01000007,White,839
E01000007,Other ethnic group,129
E01000008,Does not apply,0
E01000008,"Asian, Asian British or Asian Welsh",459
E01000008,"Black, Black British, Black Welsh, Caribbean or African",716
E01000008,Mixed or Multiple ethnic groups,87
E01000008,White,449
E01000008,Other ethnic group,84
E01000009,Does not apply,0
E01000009,"Asian, Asian British or Asian Welsh",883
E01000009,"Black, Black British, Black Welsh, Caribbean or African",202
E01000009,Mixed or Multiple ethnic groups,53
E01000009,White,548
E01000009,Other ethnic group,118
E01000011,Does not apply,0
E01000011,"Asian, Asian British or Asian Welsh",932
E01000011,"Black, Black British, Black Welsh, Caribbean or African",172
E01000011,Mixed or Multiple ethnic groups,39
E01000011,White,485
E01000011,Other ethnic group,71
E01000012,Does not apply,0
E01000012,"Asian, Asian British or Asian Welsh",790
E01000012,"Black, Black British, Black Welsh, Caribbean or African",686
E01000012,Mixed or Multiple ethnic groups,124
E01000012,White,645
E01000012,Other ethnic group,102
E01000013,Does not apply,0
E01000013,"Asian, Asian British or Asian Welsh",318
E01000013,"Black, Black British, Black Welsh, Caribbean or African",337
E01000013,Mixed or Multiple ethnic groups,65
E01000013,White,1119
E01000013,Other ethnic group,34
E01000014,Does not apply,0
E01000014,"Asian, Asian British or Asian Welsh",303
E01000014,"Black, Black British, Black Welsh, Caribbean or African",296
E01000014,Mixed or Multiple ethnic groups,47
E01000014,White,1069
E01000014,Other ethnic group,36
E01000015,Does not apply,0
E01000015,"Asian, Asian British or Asian Welsh",368
E01000015,"Black, Black British, Black Welsh, Caribbean or African",489
E01000015,Mixed or Multiple ethnic groups,111
E01000015,White,1362
E01000015,Other ethnic group,88
E01000016,Does not apply,0
E01000016,"Asian, Asian British or Asian Welsh",266
E01000016,"Black, Black British, Black Welsh, Caribbean or African",376
E01000016,Mixed or Multiple ethnic groups,48
E01000016,White,1071
E01000016,Other ethnic group,88
E01000017,Does not apply,0
E01000017,"Asian, Asian British or Asian Welsh",365
E01000017,"Black, Black British, Black Welsh, Caribbean or African",351
E01000017,Mixed or Multiple ethnic groups,77
E01000017,White,886
E01000017,Other ethnic group,45
E01000018,Does not apply,0
E01000018,"Asian, Asian British or Asian Welsh",231
E01000018,"Black, Black British, Black Welsh, Caribbean or African",331
E01000018,Mixed or Multiple ethnic groups,76
E01000018,White,1109
E01000018,Other ethnic group,29
E01000019,Does not apply,0
E01000019,"Asian, Asian British or Asian Welsh",561
E01000019,"Black, Black British, Black Welsh, Caribbean or African",248
E01000019,Mixed or Multiple ethnic groups,57
E01000019,White,723
E01000019,Other ethnic group,68
E01000020,Does not apply,0
E01000020,"Asian, Asian British or Asian Welsh",491
E01000020,"Black, Black British, Black Welsh, Caribbean or African",430
E01000020,Mixed or Multiple ethnic groups,71
E01000020,White,938
E01000020,Other ethnic group,260
E01000021,Does not apply,0
