Lower layer Super Output Areas Code,Household type (6 categories),Observation
E01000001,Does not apply,0
E01000001,One-person household,371
E01000001,Married or civil partnership couple household,273
E01000001,Cohabiting couple household,119
E01000001,Lone parent household,18
E01000001,Multi-person household,58
E01000002,Does not apply,0
E01000002,One-person household,409
E01000002,Married or civil partnership couple household,223
E01000002,Cohabiting couple household,119
E01000002,Lone parent household,26
E01000002,Multi-person household,47
E01000003,Does not apply,0
E01000003,One-person household,582
E01000003,Married or civil partnership couple household,197
E01000003,Cohabiting couple household,127
E01000003,Lone parent household,47
E01000003,Multi-person household,64
E01000005,Does not apply,0
E01000005,One-person household,219
E01000005,Married or civil partnership couple household,108
E01000005,Cohabiting couple household,51
E01000005,Lone parent household,67
E01000005,Multi-person household,34
E01000006,Does not apply,0
E01000006,One-person household,94
E01000006,Married or civil partnership couple household,278
E01000006,Cohabiting couple household,51
E01000006,Lone parent household,92
E01000006,Multi-person household,41
E01000007,Does not apply,0
E01000007,One-person household,437
E01000007,Married or civil partnership couple household,387
E01000007,Cohabiting couple household,129
E01000007,Lone parent household,191
E01000007,Multi-person household,47
E01000008,Does not apply,0
E01000008,One-person household,133
E01000008,Married or civil partnership couple household,195
E01000008,Cohabiting couple household,60
E01000008,Lone parent household,136
E01000008,Multi-person household,24
E01000009,Does not apply,0
E01000009,One-person household,173
E01000009,Married or civil partnership couple household,274
E01000009,Cohabiting couple household,48
E01000009,Lone parent household,69
E01000009,Multi-person household,37
E01000011,Does not apply,0
E01000011,One-person household,96
E01000011,Married or civil partnership couple household,259
E01000011,Cohabiting couple household,31
E01000011,Lone parent household,61
E01000011,Multi-person household,28
E01000012,Does not apply,0
E01000012,One-person household,163
E01000012,Married or civil partnership couple household,320
E01000012,Cohabiting couple household,74
E01000012,Lone parent household,177
E01000012,Multi-person household,47
E01000013,Does not apply,0
E01000013,One-person household,116
E01000013,Married or civil partnership couple household,258
E01000013,Cohabiting couple household,66
E01000013,Lone parent household,152
E01000013,Multi-person household,26
E01000014,Does not apply,0
E01000014,One-person household,166
E01000014,Married or civil partnership couple household,238
E01000014,Cohabiting couple household,82
E01000014,Lone parent household,126
E01000014,Multi-person household,22
E01000015,Does not apply,0
E01000015,One-person household,185
E01000015,Married or civil partnership couple household,291
E01000015,Cohabiting couple household,97
E01000015,Lone parent household,241
E01000015,Multi-person household,21
E01000016,Does not apply,0
E01000016,One-person household,122
E01000016,Married or civil partnership couple household,264
E01000016,Cohabiting couple household,63
E01000016,Lone parent household,160
E01000016,Multi-person household,18
E01000017,Does not apply,0
E01000017,One-person household,145
E01000017,Married or civil partnership couple household,231
E01000017,Cohabiting couple household,62
E01000017,Lone parent household,137
E01000017,Multi-person household,23
E01000018,Does not apply,0
E01000018,One-person household,155
E01000018,Married or civil partnership couple household,242
E01000018,Cohabiting couple household,70
E01000018,Lone parent household,162
E01000018,Multi-person household,16
E01000019,Does not apply,0
E01000019,One-person household,73
E01000019,Married or civil partnership couple household,245
E01000019,Cohabiting couple household,48
E01000019,Lone parent household,123
E01000019,Multi-person household,12
E01000020,Does not apply,0
E01000020,One-person household,146
E01000020,Married or civil partnership couple household,325
E01000020,Cohabiting couple household,58
E01000020,Lone parent household,109
E01000020,Multi-person household,24
E01000021,Does not apply,0
E01000021,One-person household,160
E01000021,Married or civil partnership couple household,227
E01000021,Cohabiting couple household,70
E01000021,Lone parent household,123
E01000021,Multi-person household,11
E01000022,Does not apply,0
E01000022,One-person household,91
E01000022,Married or civil partnership couple household,206
E01000022,Cohabiting couple household,50
E01000022,Lone parent household,118
E01000022,Multi-person household,15
E01000024,Does not apply,0
E01000024,One-person household,74
E01000024,Married or civil partnership couple household,197
E01000024,Cohabiting couple household,38
E01000024,Lone parent household,135
E01000024,Multi-person household,15
E01000025,Does not apply,0
E01000025,One-person household,231
E01000025,Married or civil partnership couple household,247
E01000025,Cohabiting couple household,70
E01000025,Lone parent household,128
E01000025,Multi-person household,18
E01000027,Does not apply,0
E01000027,One-person household,133
E01000027,Married or civil partnership couple household,246
E01000027,Cohabiting couple household,85
E01000027,Lone parent household,186
E01000027,Multi-person household,14
E01000028,Does not apply,0
E01000028,One-person household,190
E01000028,Married or civil partnership couple household,223
E01000028,Cohabiting couple household,48
E01000028,Lone parent household,146
E01000028,Multi-person household,14
E01000029,Does not apply,0
E01000029,One-person household,185
E01000029,Married or civil partnership couple household,325
E01000029,Cohabiting couple household,50
E01000029,Lone parent household,110
E01000029,Multi-person household,12
E01000030,Does not apply,0
E01000030,One-person household,219
E01000030,Married or civil partnership couple household,301
E01000030,Cohabiting couple household,92
E01000030,Lone parent household,267
E01000030,Multi-person household,27
E01000031,Does not apply,0
E01000031,One-person household,154
E01000031,Married or civil partnership couple household,281
E01000031,Cohabiting couple household,52
E01000031,Lone parent household,91
E01000031,Multi-person household,17
E01000032,Does not apply,0
E01000032,One-person household,178
E01000032,Married or civil partnership couple household,328
E01000032,Cohabiting couple household,64
E01000032,Lone parent household,118
E01000032,Multi-person household,35
E01000033,Does not apply,0
E01000033,One-person household,152
E01000033,Married or civil partnership couple household,199
E01000033,Cohabiting couple household,60
E01000033,Lone parent household,129
E01000033,Multi-person household,10
E01000034,Does not apply,0
E01000034,One-person household,124
E01000034,Married or civil partnership couple household,210
E01000034,Cohabiting couple household,56
E01000034,Lone parent household,101
E01000034,Multi-person household,23
E01000035,Does not apply,0
E01000035,One-person household,142
E01000035,Married or civil partnership couple household,270
E01000035,Cohabiting couple household,59
E01000035,Lone parent household,104
E01000035,Multi-person household,20
E01000036,Does not apply,0
