Lower layer Super Output Areas Code,Migrant indicator (5 categories),Observation
E01000001,Does not apply,9
E01000001,Address one year ago is the same as the address of enumeration,1153
E01000001,Address one year ago is student term-time or boarding school address in the UK,23
E01000001,Migrant from within the UK: Address one year ago was in the UK,199
E01000001,Migrant from outside the UK: Address one year ago was outside the UK,90
E01000002,Does not apply,10
E01000002,Address one year ago is the same as the address of enumeration,1061
E01000002,Address one year ago is student term-time or boarding school address in the UK,21
E01000002,Migrant from within the UK: Address one year ago was in the UK,230
E01000002,Migrant from outside the UK: Address one year ago was outside the UK,63
E01000003,Does not apply,5
E01000003,Address one year ago is the same as the address of enumeration,1302
E01000003,Address one year ago is student term-time or boarding school address in the UK,14
E01000003,Migrant from within the UK: Address one year ago was in the UK,224
E01000003,Migrant from outside the UK: Address one year ago was outside the UK,70
E01000005,Does not apply,12
E01000005,Address one year ago is the same as the address of enumeration,940
E01000005,Address one year ago is student term-time or boarding school address in the UK,11
E01000005,Migrant from within the UK: Address one year ago was in the UK,86
E01000005,Migrant from outside the UK: Address one year ago was outside the UK,51
E01000006,Does not apply,32
E01000006,Address one year ago is the same as the address of enumeration,1635
E01000006,Address one year ago is student term-time or boarding school address in the UK,1
E01000006,Migrant from within the UK: Address one year ago was in the UK,151
E01000006,Migrant from outside the UK: Address one year ago was outside the UK,26
E01000007,Does not apply,61
E01000007,Address one year ago is the same as the address of enumeration,2242
E01000007,Address one year ago is student term-time or boarding school address in the UK,7
E01000007,Migrant from within the UK: Address one year ago was in the UK,539
E01000007,Migrant from outside the UK: Address one year ago was outside the UK,61
E01000008,Does not apply,44
E01000008,Address one year ago is the same as the address of enumeration,1582
E01000008,Address one year ago is student term-time or boarding school address in the UK,4
E01000008,Migrant from within the UK: Address one year ago was in the UK,140
E01000008,Migrant from outside the UK: Address one year ago was outside the UK,23
E01000009,Does not apply,23
E01000009,Address one year ago is the same as the address of enumeration,1571
E01000009,Address one year ago is student term-time or boarding school address in the UK,1
E01000009,Migrant from within the UK: Address one year ago was in the UK,162
E01000009,Migrant from outside the UK: Address one year ago was outside the UK,46
E01000011,Does not apply,21
E01000011,Address one year ago is the same as the address of enumeration,1499
E01000011,Address one year ago is student term-time or boarding school address in the UK,2
E01000011,Migrant from within the UK: Address one year ago was in the UK,139
E01000011,Migrant from outside the UK: Address one year ago was outside the UK,40
E01000012,Does not apply,52
E01000012,Address one year ago is the same as the address of enumeration,1964
E01000012,Address one year ago is student term-time or boarding school address in the UK,7
E01000012,Migrant from within the UK: Address one year ago was in the UK,293
E01000012,Migrant from outside the UK: Address one year ago was outside the UK,31
E01000013,Does not apply,17
E01000013,Address one year ago is the same as the address of enumeration,1728
E01000013,Address one year ago is student term-time or boarding school address in the UK,3
E01000013,Migrant from within the UK: Address one year ago was in the UK,99
E01000013,Migrant from outside the UK: Address one year ago was outside the UK,24
E01000014,Does not apply,23
E01000014,Address one year ago is the same as the address of enumeration,1609
E01000014,Address one year ago is student term-time or boarding school address in the UK,5
E01000014,Migrant from within the UK: Address one year ago was in the UK,103
E01000014,Migrant from outside the UK: Address one year ago was outside the UK,14
E01000015,Does not apply,34
E01000015,Address one year ago is the same as the address of enumeration,2209
E01000015,Address one year ago is student term-time or boarding school address in the UK,3
E01000015,Migrant from within the UK: Address one year ago was in the UK,153
E01000015,Migrant from outside the UK: Address one year ago was outside the UK,19
E01000016,Does not apply,20
E01000016,Address one year ago is the same as the address of enumeration,1698
E01000016,Address one year ago is student term-time or boarding school address in the UK,7
E01000016,Migrant from within the UK: Address one year ago was in the UK,121
E01000016,Migrant from outside the UK: Address one year ago was outside the UK,9
E01000017,Does not apply,21
E01000017,Address one year ago is the same as the address of enumeration,1590
E01000017,Address one year ago is student term-time or boarding school address in the UK,2
E01000017,Migrant from within the UK: Address one year ago was in the UK,105
E01000017,Migrant from outside the UK: Address one year ago was outside the UK,6
E01000018,Does not apply,26
E01000018,Address one year ago is the same as the address of enumeration,1616
E01000018,Address one year ago is student term-time or boarding school address in the UK,2
E01000018,Migrant from within the UK: Address one year ago was in the UK,126
E01000018,Migrant from outside the UK: Address one year ago was outside the UK,6
E01000019,Does not apply,18
E01000019,Address one year ago is the same as the address of enumeration,1547
E01000019,Address one year ago is student term-time or boarding school address in the UK,1
E01000019,Migrant from within the UK: Address one year ago was in the UK,80
E01000019,Migrant from outside the UK: Address one year ago was outside the UK,11
E01000020,Does not apply,39
E01000020,Address one year ago is the same as the address of enumeration,1989
E01000020,Address one year ago is student term-time or boarding school address in the UK,0
E01000020,Migrant from within the UK: Address one year ago was in the UK,136
E01000020,Migrant from outside the UK: Address one year ago was outside the UK,27
E01000021,Does not apply,20
E01000021,Address one year ago is the same as the address of enumeration,1501
E01000021,Address one year ago is student term-time or boarding school address in the UK,2
E01000021,Migrant from within the UK: Address one year ago was in the UK,148
E01000021,Migrant from outside the UK: Address one year ago was outside the UK,23
E01000022,Does not apply,16
E01000022,Address one year ago is the same as the address of enumeration,1368
E01000022,Address one year ago is student term-time or boarding school address in the UK,2
E01000022,Migrant from within the UK: Address one year ago was in the UK,80
E01000022,Migrant from outside the UK: Address one year ago was outside the UK,10
E01000024,Does not apply,19
E01000024,Address one year ago is the same as the address of enumeration,1344
E01000024,Address one year ago is student term-time or boarding school address in the UK,4
E01000024,Migrant from within the UK: Address one year ago was in the UK,98
E01000024,Migrant from outside the UK: Address one year ago was outside the UK,21
E01000025,Does not apply,19
E01000025,Address one year ago is the same as the address of enumeration,1795
E01000025,Address one year ago is student term-time or boarding school address in the UK,2
E01000025,Migrant from within the UK: Address one year ago was in the UK,92
E01000025,Migrant from outside the UK: Address one year ago was outside the UK,12
E01000027,Does not apply,29
E01000027,Address one year ago is the same as the address of enumeration,1902
E01000027,Address one year ago is student term-time or boarding school address in the UK,3
E01000027,Migrant from within the UK: Address one year ago was in the UK,131
E01000027,Migrant from outside the UK: Address one year ago was outside the UK,15
E01000028,Does not apply,34
E01000028,Address one year ago is the same as the address of enumeration,1661
E01000028,Address one year ago is student term-time or boarding school address in the UK,4
E01000028,Migrant from within the UK: Address one year ago was in the UK,103
E01000028,Migrant from outside the UK: Address one year ago was outside the UK,15
E01000029,Does not apply,16
E01000029,Address one year ago is the same as the address of enumeration,1653
E01000029,Address one year ago is student term-time or boarding school address in the UK,0
E01000029,Migrant from within the UK: Address one year ago was in the UK,138
E01000029,Migrant from outside the UK: Address one year ago was outside the UK,11
E01000030,Does not apply,34
E01000030,Address one year ago is the same as the address of enumeration,2406
E01000030,Address one year ago is student term-time or boarding school address in the UK,5
E01000030,Migrant from within the UK: Address one year ago was in the UK,107
E01000030,Migrant from outside the UK: Address one year ago was outside the UK,11
E01000031,Does not apply,23
E01000031,Address one year ago is the same as the address of enumeration,1609
E01000031,Address one year ago is student term-time or boarding school address in the UK,3
E01000031,Migrant from within the UK: Address one year ago was in the UK,117
E01000031,Migrant from outside the UK: Address one year ago was outside the UK,18
E01000032,Does not apply,30
E01000032,Address one year ago is the same as the address of enumeration,1862
E01000032,Address one year ago is student term-time or boarding school address in the UK,3
E01000032,Migrant from within the UK: Address one year ago was in the UK,163
E01000032,Migrant from outside the UK: Address one year ago was outside the UK,21
E01000033,Does not apply,15
E01000033,Address one year ago is the same as the address of enumeration,1456
E01000033,Address one year ago is student term-time or boarding school address in the UK,1
E01000033,Migrant from within the UK: Address one year ago was in the UK,60
E01000033,Migrant from outside the UK: Address one year ago was outside the UK,8
E01000034,Does not apply,10
E01000034,Address one year ago is the same as the address of enumeration,1476
E01000034,Address one year ago is student term-time or boarding school address in the UK,1
E01000034,Migrant from within the UK: Address one year ago was in the UK,81
E01000034,Migrant from outside the UK: Address one year ago was outside the UK,7
E01000035,Does not apply,20
E01000035,Address one year ago is the same as the address of enumeration,1702
E01000035,Address one year ago is student term-time or boarding school address in the UK,1
E01000035,Migrant from within the UK: Address one year ago was in the UK,114
E01000035,Migrant from outside the UK: Address one year ago was outside the UK,22
E01000036,Does not apply,18
E01000036,Address one year ago is the same as the address of enumeration,1317
E01000036,Address one year ago is student term-time or boarding school address in the UK,5
E01000036,Migrant from within the UK: Address one year ago was in the UK,112
E01000036,Migrant from outside the UK: Address one year ago was outside the UK,18
E01000037,Does not apply,20
E01000037,Address one year ago is the same as the address of enumeration,1481
E01000037,Address one year ago is student term-time or boarding school address in the UK,1
E01000037,Migrant from within the UK: Address one year ago was in the UK,192
E01000037,Migrant from outside the UK: Address one year ago was outside the UK,3
E01000038,Does not apply,13
E01000038,Address one year ago is the same as the address of enumeration,1462
E01000038,Address one year ago is student term-time or boarding school address in the UK,3
E01000038,Migrant from within the UK: Address one year ago was in the UK,123
E01000038,Migrant from outside the UK: Address one year ago was outside the UK,16
E01000039,Does not apply,21
E01000039,Address one year ago is the same as the address of enumeration,1581
E01000039,Address one year ago is student term-time or boarding school address in the UK,2
E01000039,Migrant from within the UK: Address one year ago was in the UK,134
E01000039,Migrant from outside the UK: Address one year ago was outside the UK,13
E01000040,Does not apply,19
E01000040,Address one year ago is the same as the address of enumeration,1710
E01000040,Address one year ago is student term-time or boarding school address in the UK,2
E01000040,Migrant from within the UK: Address one year ago was in the UK,116
E01000040,Migrant from outside the UK: Address one year ago was outside the UK,32
E01000041,Does not apply,22
E01000041,Address one year ago is the same as the address of enumeration,1683
E01000041,Address one year ago is student term-time or boarding school address in the UK,4
E01000041,Migrant from within the UK: Address one year ago was in the UK,109
