Lower layer Super Output Areas Code,Age (4 categories),Observation
E01000001,Aged 15 years and under,125
E01000001,Aged 16 to 20 years,23
E01000001,Aged 21 to 29 years,246
E01000001,Aged 30 years and over,1084
E01000002,Aged 15 years and under,86
E01000002,Aged 16 to 20 years,34
E01000002,Aged 21 to 29 years,256
E01000002,Aged 30 years and over,1008
E01000003,Aged 15 years and under,110
E01000003,Aged 16 to 20 years,26
E01000003,Aged 21 to 29 years,275
E01000003,Aged 30 years and over,1203
E01000005,Aged 15 years and under,139
E01000005,Aged 16 to 20 years,103
E01000005,Aged 21 to 29 years,192
E01000005,Aged 30 years and over,666
E01000006,Aged 15 years and under,414
E01000006,Aged 16 to 20 years,116
E01000006,Aged 21 to 29 years,236
E01000006,Aged 30 years and over,1079
E01000007,Aged 15 years and under,748
E01000007,Aged 16 to 20 years,129
E01000007,Aged 21 to 29 years,457
E01000007,Aged 30 years and over,1574
E01000008,Aged 15 years and under,537
E01000008,Aged 16 to 20 years,173
E01000008,Aged 21 to 29 years,231
E01000008,Aged 30 years and over,854
E01000009,Aged 15 years and under,396
E01000009,Aged 16 to 20 years,88
E01000009,Aged 21 to 29 years,244
E01000009,Aged 30 years and over,1076
E01000011,Aged 15 years and under,382
E01000011,Aged 16 to 20 years,133
E01000011,Aged 21 to 29 years,214
E01000011,Aged 30 years and over,972
E01000012,Aged 15 years and under,769
E01000012,Aged 16 to 20 years,135
E01000012,Aged 21 to 29 years,296
E01000012,Aged 30 years and over,1148
E01000013,Aged 15 years and under,473
E01000013,Aged 16 to 20 years,113
E01000013,Aged 21 to 29 years,224
E01000013,Aged 30 years and over,1062
E01000014,Aged 15 years and under,430
E01000014,Aged 16 to 20 years,113
E01000014,Aged 21 to 29 years,185
E01000014,Aged 30 years and over,1023
E01000015,Aged 15 years and under,684
E01000015,Aged 16 to 20 years,146
E01000015,Aged 21 to 29 years,275
E01000015,Aged 30 years and over,1312
E01000016,Aged 15 years and under,451
E01000016,Aged 16 to 20 years,122
E01000016,Aged 21 to 29 years,238
E01000016,Aged 30 years and over,1040
E01000017,Aged 15 years and under,421
E01000017,Aged 16 to 20 years,104
E01000017,Aged 21 to 29 years,208
E01000017,Aged 30 years and over,991
E01000018,Aged 15 years and under,421
E01000018,Aged 16 to 20 years,115
E01000018,Aged 21 to 29 years,212
E01000018,Aged 30 years and over,1028
E01000019,Aged 15 years and under,481
E01000019,Aged 16 to 20 years,98
E01000019,Aged 21 to 29 years,162
E01000019,Aged 30 years and over,916
E01000020,Aged 15 years and under,584
E01000020,Aged 16 to 20 years,151
E01000020,Aged 21 to 29 years,252
E01000020,Aged 30 years and over,1204
E01000021,Aged 15 years and under,459
E01000021,Aged 16 to 20 years,106
E01000021,Aged 21 to 29 years,198
E01000021,Aged 30 years and over,931
E01000022,Aged 15 years and under,385
E01000022,Aged 16 to 20 years,91
E01000022,Aged 21 to 29 years,175
E01000022,Aged 30 years and over,825
E01000024,Aged 15 years and under,365
E01000024,Aged 16 to 20 years,114
E01000024,Aged 21 to 29 years,190
E01000024,Aged 30 years and over,816
E01000025,Aged 15 years and under,473
E01000025,Aged 16 to 20 years,120
E01000025,Aged 21 to 29 years,208
E01000025,Aged 30 years and over,1119
E01000027,Aged 15 years and under,599
E01000027,Aged 16 to 20 years,142
E01000027,Aged 21 to 29 years,233
E01000027,Aged 30 years and over,1107
E01000028,Aged 15 years and under,468
E01000028,Aged 16 to 20 years,159
E01000028,Aged 21 to 29 years,194
E01000028,Aged 30 years and over,996
E01000029,Aged 15 years and under,380
E01000029,Aged 16 to 20 years,105
E01000029,Aged 21 to 29 years,184
E01000029,Aged 30 years and over,1150
E01000030,Aged 15 years and under,849
E01000030,Aged 16 to 20 years,153
E01000030,Aged 21 to 29 years,251
E01000030,Aged 30 years and over,1310
E01000031,Aged 15 years and under,373
E01000031,Aged 16 to 20 years,105
E01000031,Aged 21 to 29 years,249
E01000031,Aged 30 years and over,1043
E01000032,Aged 15 years and under,492
E01000032,Aged 16 to 20 years,112
E01000032,Aged 21 to 29 years,241
E01000032,Aged 30 years and over,1234
E01000033,Aged 15 years and under,425
E01000033,Aged 16 to 20 years,93
E01000033,Aged 21 to 29 years,153
E01000033,Aged 30 years and over,871
E01000034,Aged 15 years and under,309
E01000034,Aged 16 to 20 years,104
E01000034,Aged 21 to 29 years,187
E01000034,Aged 30 years and over,976
E01000035,Aged 15 years and under,401
E01000035,Aged 16 to 20 years,128
E01000035,Aged 21 to 29 years,215
E01000035,Aged 30 years and over,1116
E01000036,Aged 15 years and under,310
E01000036,Aged 16 to 20 years,103
E01000036,Aged 21 to 29 years,200
E01000036,Aged 30 years and over,858
E01000037,Aged 15 years and under,293
E01000037,Aged 16 to 20 years,90
E01000037,Aged 21 to 29 years,251
E01000037,Aged 30 years and over,1063
E01000038,Aged 15 years and under,329
E01000038,Aged 16 to 20 years,88
E01000038,Aged 21 to 29 years,202
E01000038,Aged 30 years and over,997
E01000039,Aged 15 years and under,395
E01000039,Aged 16 to 20 years,89
E01000039,Aged 21 to 29 years,208
E01000039,Aged 30 years and over,1060
E01000040,Aged 15 years and under,472
E01000040,Aged 16 to 20 years,167
E01000040,Aged 21 to 29 years,198
E01000040,Aged 30 years and over,1042
E01000041,Aged 15 years and under,465
E01000041,Aged 16 to 20 years,117
E01000041,Aged 21 to 29 years,206
E01000041,Aged 30 years and over,1054
E01000042,Aged 15 years and under,557
E01000042,Aged 16 to 20 years,124
E01000042,Aged 21 to 29 years,183
E01000042,Aged 30 years and over,1018
E01000043,Aged 15 years and under,323
E01000043,Aged 16 to 20 years,122
E01000043,Aged 21 to 29 years,237
E01000043,Aged 30 years and over,855
E01000044,Aged 15 years and under,482
E01000044,Aged 16 to 20 years,136
E01000044,Aged 21 to 29 years,254
E01000044,Aged 30 years and over,1114
E01000045,Aged 15 years and under,440
E01000045,Aged 16 to 20 years,113
E01000045,Aged 21 to 29 years,192
E01000045,Aged 30 years and over,978
E01000046,Aged 15 years and under,504
E01000046,Aged 16 to 20 years,131
E01000046,Aged 21 to 29 years,253
E01000046,Aged 30 years and over,1068
E01000049,Aged 15 years and under,617
E01000049,Aged 16 to 20 years,205
E01000049,Aged 21 to 29 years,196
E01000049,Aged 30 years and over,955
E01000050,Aged 15 years and under,473
E01000050,Aged 16 to 20 years,109
E01000050,Aged 21 to 29 years,225
E01000050,Aged 30 years and over,1032
E01000051,Aged 15 years and under,321
E01000051,Aged 16 to 20 years,50
E01000051,Aged 21 to 29 years,177
E01000051,Aged 30 years and over,557
E01000052,Aged 15 years and under,665
E01000052,Aged 16 to 20 years,132
E01000052,Aged 21 to 29 years,241
E01000052,Aged 30 years and over,1330
E01000053,Aged 15 years and under,408
E01000053,Aged 16 to 20 years,71
E01000053,Aged 21 to 29 years,183
E01000053,Aged 30 years and over,955
E01000054,Aged 15 years and under,501
E01000054,Aged 16 to 20 years,127
E01000054,Aged 21 to 29 years,199
E01000054,Aged 30 years and over,1042
E01000055,Aged 15 years and under,421
E01000055,Aged 16 to 20 years,138
E01000055,Aged 21 to 29 years,190
E01000055,Aged 30 years and over,956
E01000056,Aged 15 years and under,434
E01000056,Aged 16 to 20 years,91
E01000056,Aged 21 to 29 years,205
E01000056,Aged 30 years and over,972
E01000057,Aged 15 years and under,402
E01000057,Aged 16 to 20 years,96
E01000057,Aged 21 to 29 years,177
E01000057,Aged 30 years and over,875
E01000058,Aged 15 years and under,544
E01000058,Aged 16 to 20 years,193
E01000058,Aged 21 to 29 years,212
E01000058,Aged 30 years and over,1186
E01000059,Aged 15 years and under,413
E01000059,Aged 16 to 20 years,107
E01000059,Aged 21 to 29 years,190
E01000059,Aged 30 years and over,1000
E01000060,Aged 15 years and under,629
E01000060,Aged 16 to 20 years,133
E01000060,Aged 21 to 29 years,259
E01000060,Aged 30 years and over,1158
E01000061,Aged 15 years and under,545
E01000061,Aged 16 to 20 years,137
E01000061,Aged 21 to 29 years,258
E01000061,Aged 30 years and over,986
E01000062,Aged 15 years and under,537
E01000062,Aged 16 to 20 years,145
E01000062,Aged 21 to 29 years,280
E01000062,Aged 30 years and over,1256
E01000063,Aged 15 years and under,446
E01000063,Aged 16 to 20 years,123
E01000063,Aged 21 to 29 years,178
E01000063,Aged 30 years and over,1031
E01000064,Aged 15 years and under,561
E01000064,Aged 16 to 20 years,134
E01000064,Aged 21 to 29 years,275
E01000064,Aged 30 years and over,1324
E01000065,Aged 15 years and under,446
E01000065,Aged 16 to 20 years,117
E01000065,Aged 21 to 29 years,189
E01000065,Aged 30 years and over,1230
E01000066,Aged 15 years and under,580
E01000066,Aged 16 to 20 years,240
E01000066,Aged 21 to 29 years,397
E01000066,Aged 30 years and over,1284
E01000067,Aged 15 years and under,561
E01000067,Aged 16 to 20 years,159
E01000067,Aged 21 to 29 years,297
E01000067,Aged 30 years and over,1219
E01000068,Aged 15 years and under,317
E01000068,Aged 16 to 20 years,151
E01000068,Aged 21 to 29 years,254
E01000068,Aged 30 years and over,1073
E01000069,Aged 15 years and under,445
E01000069,Aged 16 to 20 years,148
E01000069,Aged 21 to 29 years,345
E01000069,Aged 30 years and over,1161
E01000070,Aged 15 years and under,468
E01000070,Aged 16 to 20 years,129
E01000070,Aged 21 to 29 years,276
E01000070,Aged 30 years and over,1199
E01000071,Aged 15 years and under,612
E01000071,Aged 16 to 20 years,183
E01000071,Aged 21 to 29 years,353
E01000071,Aged 30 years and over,1456
E01000072,Aged 15 years and under,588
E01000072,Aged 16 to 20 years,133
E01000072,Aged 21 to 29 years,279
E01000072,Aged 30 years and over,1148
E01000073,Aged 15 years and under,487
E01000073,Aged 16 to 20 years,107
E01000073,Aged 21 to 29 years,179
E01000073,Aged 30 years and over,1075
E01000074,Aged 15 years and under,475
E01000074,Aged 16 to 20 years,123
E01000074,Aged 21 to 29 years,203
E01000074,Aged 30 years and over,959
E01000075,Aged 15 years and under,536
E01000075,Aged 16 to 20 years,126
E01000075,Aged 21 to 29 years,262
E01000075,Aged 30 years and over,1156
E01000076,Aged 15 years and under,532
E01000076,Aged 16 to 20 years,147
E01000076,Aged 21 to 29 years,248
E01000076,Aged 30 years and over,1232
E01000077,Aged 15 years and under,426
E01000077,Aged 16 to 20 years,104
E01000077,Aged 21 to 29 years,196
E01000077,Aged 30 years and over,992
E01000078,Aged 15 years and under,546
E01000078,Aged 16 to 20 years,101
E01000078,Aged 21 to 29 years,205
E01000078,Aged 30 years and over,1047
E01000079,Aged 15 years and under,433
E01000079,Aged 16 to 20 years,98
E01000079,Aged 21 to 29 years,185
E01000079,Aged 30 years and over,998
E01000080,Aged 15 years and under,441
E01000080,Aged 16 to 20 years,101
E01000080,Aged 21 to 29 years,227
E01000080,Aged 30 years and over,1008
E01000081,Aged 15 years and under,471
E01000081,Aged 16 to 20 years,137
E01000081,Aged 21 to 29 years,233
E01000081,Aged 30 years and over,1135
E01000082,Aged 15 years and under,471
E01000082,Aged 16 to 20 years,122
E01000082,Aged 21 to 29 years,187
E01000082,Aged 30 years and over,1135
E01000083,Aged 15 years and under,537
E01000083,Aged 16 to 20 years,134
E01000083,Aged 21 to 29 years,168
E01000083,Aged 30 years and over,1080
E01000084,Aged 15 years and under,352
E01000084,Aged 16 to 20 years,87
E01000084,Aged 21 to 29 years,155
E01000084,Aged 30 years and over,841
E01000085,Aged 15 years and under,404
E01000085,Aged 16 to 20 years,114
E01000085,Aged 21 to 29 years,195
E01000085,Aged 30 years and over,933
E01000086,Aged 15 years and under,358
E01000086,Aged 16 to 20 years,103
E01000086,Aged 21 to 29 years,174
E01000086,Aged 30 years and over,814
E01000087,Aged 15 years and under,413
E01000087,Aged 16 to 20 years,123
E01000087,Aged 21 to 29 years,199
E01000087,Aged 30 years and over,901
E01000088,Aged 15 years and under,539
E01000088,Aged 16 to 20 years,113
E01000088,Aged 21 to 29 years,216
E01000088,Aged 30 years and over,1107
E01000089,Aged 15 years and under,546
E01000089,Aged 16 to 20 years,112
E01000089,Aged 21 to 29 years,192
E01000089,Aged 30 years and over,976
E01000090,Aged 15 years and under,485
E01000090,Aged 16 to 20 years,102
E01000090,Aged 21 to 29 years,186
E01000090,Aged 30 years and over,934
E01000091,Aged 15 years and under,616
E01000091,Aged 16 to 20 years,152
E01000091,Aged 21 to 29 years,246
E01000091,Aged 30 years and over,1077
E01000093,Aged 15 years and under,480
E01000093,Aged 16 to 20 years,134
E01000093,Aged 21 to 29 years,203
E01000093,Aged 30 years and over,992
E01000094,Aged 15 years and under,763
E01000094,Aged 16 to 20 years,150
E01000094,Aged 21 to 29 years,311
E01000094,Aged 30 years and over,1237
E01000095,Aged 15 years and under,740
E01000095,Aged 16 to 20 years,113
E01000095,Aged 21 to 29 years,262
E01000095,Aged 30 years and over,1135
E01000096,Aged 15 years and under,553
E01000096,Aged 16 to 20 years,152
E01000096,Aged 21 to 29 years,178
E01000096,Aged 30 years and over,775
E01000097,Aged 15 years and under,482
E01000097,Aged 16 to 20 years,128
E01000097,Aged 21 to 29 years,204
E01000097,Aged 30 years and over,1119
E01000098,Aged 15 years and under,535
E01000098,Aged 16 to 20 years,136
E01000098,Aged 21 to 29 years,194
E01000098,Aged 30 years and over,1073
E01000099,Aged 15 years and under,757
E01000099,Aged 16 to 20 years,171
E01000099,Aged 21 to 29 years,324
E01000099,Aged 30 years and over,1526
E01000100,Aged 15 years and under,531
E01000100,Aged 16 to 20 years,123
E01000100,Aged 21 to 29 years,231
E01000100,Aged 30 years and over,1057
E01000101,Aged 15 years and under,403
E01000101,Aged 16 to 20 years,107
E01000101,Aged 21 to 29 years,197
E01000101,Aged 30 years and over,993
E01000102,Aged 15 years and under,488
E01000102,Aged 16 to 20 years,111
E01000102,Aged 21 to 29 years,168
E01000102,Aged 30 years and over,1017
E01000103,Aged 15 years and under,456
E01000103,Aged 16 to 20 years,127
E01000103,Aged 21 to 29 years,252
E01000103,Aged 30 years and over,938
E01000104,Aged 15 years and under,527
E01000104,Aged 16 to 20 years,125
E01000104,Aged 21 to 29 years,234
E01000104,Aged 30 years and over,1029
E01000105,Aged 15 years and under,587
E01000105,Aged 16 to 20 years,117
E01000105,Aged 21 to 29 years,243
E01000105,Aged 30 years and over,1387
E01000106,Aged 15 years and under,630
E01000106,Aged 16 to 20 years,123
E01000106,Aged 21 to 29 years,254
E01000106,Aged 30 years and over,1200
E01000107,Aged 15 years and under,416
E01000107,Aged 16 to 20 years,113
E01000107,Aged 21 to 29 years,202
E01000107,Aged 30 years and over,1055
E01000108,Aged 15 years and under,485
E01000108,Aged 16 to 20 years,115
E01000108,Aged 21 to 29 years,258
E01000108,Aged 30 years and over,1057
