Lower layer Super Output Areas Code,Over 30 with no qualifications,Observation
E01000001,Over 30 no qualifications,26
E01000002,Over 30 no qualifications,16
E01000003,Over 30 no qualifications,124
E01000005,Over 30 no qualifications,187
E01000006,Over 30 no qualifications,249
E01000007,Over 30 no qualifications,298
E01000008,Over 30 no qualifications,219
E01000009,Over 30 no qualifications,302
E01000011,Over 30 no qualifications,290
E01000012,Over 30 no qualifications,264
E01000013,Over 30 no qualifications,316
E01000014,Over 30 no qualifications,294
E01000015,Over 30 no qualifications,327
E01000016,Over 30 no qualifications,270
E01000017,Over 30 no qualifications,287
E01000018,Over 30 no qualifications,279
E01000019,Over 30 no qualifications,238
E01000020,Over 30 no qualifications,378
E01000021,Over 30 no qualifications,253
E01000022,Over 30 no qualifications,218
E01000024,Over 30 no qualifications,224
E01000025,Over 30 no qualifications,356
E01000027,Over 30 no qualifications,330
E01000028,Over 30 no qualifications,280
E01000029,Over 30 no qualifications,304
E01000030,Over 30 no qualifications,331
E01000031,Over 30 no qualifications,241
E01000032,Over 30 no qualifications,326
E01000033,Over 30 no qualifications,274
E01000034,Over 30 no qualifications,316
E01000035,Over 30 no qualifications,346
E01000036,Over 30 no qualifications,233
E01000037,Over 30 no qualifications,241
E01000038,Over 30 no qualifications,265
E01000039,Over 30 no qualifications,257
E01000040,Over 30 no qualifications,334
E01000041,Over 30 no qualifications,303
E01000042,Over 30 no qualifications,267
E01000043,Over 30 no qualifications,256
E01000044,Over 30 no qualifications,269
E01000045,Over 30 no qualifications,244
E01000046,Over 30 no qualifications,287
E01000049,Over 30 no qualifications,239
E01000050,Over 30 no qualifications,258
E01000051,Over 30 no qualifications,74
E01000052,Over 30 no qualifications,372
E01000053,Over 30 no qualifications,269
E01000054,Over 30 no qualifications,283
E01000055,Over 30 no qualifications,260
E01000056,Over 30 no qualifications,303
E01000057,Over 30 no qualifications,244
E01000058,Over 30 no qualifications,307
E01000059,Over 30 no qualifications,284
E01000060,Over 30 no qualifications,301
E01000061,Over 30 no qualifications,255
E01000062,Over 30 no qualifications,314
E01000063,Over 30 no qualifications,258
E01000064,Over 30 no qualifications,366
E01000065,Over 30 no qualifications,366
E01000066,Over 30 no qualifications,360
E01000067,Over 30 no qualifications,293
E01000068,Over 30 no qualifications,282
E01000069,Over 30 no qualifications,263
E01000070,Over 30 no qualifications,275
E01000071,Over 30 no qualifications,305
E01000072,Over 30 no qualifications,326
E01000073,Over 30 no qualifications,277
E01000074,Over 30 no qualifications,276
E01000075,Over 30 no qualifications,319
E01000076,Over 30 no qualifications,421
E01000077,Over 30 no qualifications,305
E01000078,Over 30 no qualifications,309
E01000079,Over 30 no qualifications,283
E01000080,Over 30 no qualifications,265
E01000081,Over 30 no qualifications,288
E01000082,Over 30 no qualifications,324
E01000083,Over 30 no qualifications,341
E01000084,Over 30 no qualifications,257
E01000085,Over 30 no qualifications,269
E01000086,Over 30 no qualifications,230
E01000087,Over 30 no qualifications,244
E01000088,Over 30 no qualifications,284
E01000089,Over 30 no qualifications,254
E01000090,Over 30 no qualifications,247
E01000091,Over 30 no qualifications,271
E01000093,Over 30 no qualifications,289
E01000094,Over 30 no qualifications,181
E01000095,Over 30 no qualifications,270
E01000096,Over 30 no qualifications,201
E01000097,Over 30 no qualifications,356
E01000098,Over 30 no qualifications,287
E01000099,Over 30 no qualifications,355
E01000100,Over 30 no qualifications,310
E01000101,Over 30 no qualifications,305
E01000102,Over 30 no qualifications,262
E01000103,Over 30 no qualifications,243
E01000104,Over 30 no qualifications,246
E01000105,Over 30 no qualifications,396
E01000106,Over 30 no qualifications,309
E01000107,Over 30 no qualifications,315
E01000108,Over 30 no qualifications,280
E01000110,Over 30 no qualifications,215
E01000111,Over 30 no qualifications,317
E01000112,Over 30 no qualifications,257
E01000113,Over 30 no qualifications,239
E01000114,Over 30 no qualifications,292
E01000115,Over 30 no qualifications,142
E01000116,Over 30 no qualifications,193
E01000117,Over 30 no qualifications,209
E01000118,Over 30 no qualifications,223
E01000119,Over 30 no qualifications,199
E01000120,Over 30 no qualifications,160
E01000121,Over 30 no qualifications,198
E01000122,Over 30 no qualifications,132
E01000123,Over 30 no qualifications,174
E01000124,Over 30 no qualifications,202
E01000126,Over 30 no qualifications,280
E01000127,Over 30 no qualifications,268
E01000128,Over 30 no qualifications,322
E01000129,Over 30 no qualifications,286
E01000130,Over 30 no qualifications,322
E01000131,Over 30 no qualifications,296
E01000132,Over 30 no qualifications,245
E01000133,Over 30 no qualifications,283
E01000134,Over 30 no qualifications,267
E01000135,Over 30 no qualifications,175
E01000136,Over 30 no qualifications,107
E01000137,Over 30 no qualifications,205
E01000138,Over 30 no qualifications,234
E01000139,Over 30 no qualifications,138
E01000140,Over 30 no qualifications,175
E01000141,Over 30 no qualifications,273
E01000142,Over 30 no qualifications,246
E01000143,Over 30 no qualifications,211
E01000144,Over 30 no qualifications,187
E01000145,Over 30 no qualifications,142
E01000146,Over 30 no qualifications,166
E01000147,Over 30 no qualifications,305
E01000150,Over 30 no qualifications,268
E01000151,Over 30 no qualifications,253
E01000152,Over 30 no qualifications,251
E01000153,Over 30 no qualifications,244
