Lower layer Super Output Areas Code,Resident Population Count
E01000027 ,"2,082"
E01000028 ,"1,817"
E01000029 ,"1,819"
E01000030 ,"2,563"
E01000031 ,"1,770"
E01000032 ,"2,078"
E01000110 ,"1,573"
E01000111 ,"2,155"
E01000112 ,"1,971"
E01000113 ,"1,993"
E01000034 ,"1,575"
E01000037 ,"1,696"
E01000038 ,"1,616"
E01000039 ,"1,752"
E01000063 ,"1,778"
E01000100 ,"1,942"
E01000101 ,"1,699"
E01000114 ,"2,419"
E01034469 ,"1,745"
E01034470 ,"1,499"
E01000033 ,"1,543"
E01000060 ,"2,180"
E01000061 ,"1,925"
E01000062 ,"2,218"
E01000064 ,"2,296"
E01000065 ,"1,982"
E01000078 ,"1,899"
E01000080 ,"1,777"
E01000081 ,"1,976"
E01000082 ,"1,913"
E01000083 ,"1,919"
E01000102 ,"1,784"
E01000021 ,"1,693"
E01000022 ,"1,477"
E01000024 ,"1,485"
E01000025 ,"1,920"
E01000077 ,"1,719"
E01034471 ,"2,686"
E01034472 ,"1,884"
E01000015 ,"2,418"
E01000016 ,"1,851"
E01000017 ,"1,722"
E01000018 ,"1,776"
E01000079 ,"1,716"
E01000035 ,"1,859"
E01000036 ,"1,470"
E01000107 ,"1,786"
E01000108 ,"1,915"
E01000066 ,"2,499"
E01000067 ,"2,237"
E01000069 ,"2,096"
E01000070 ,"2,073"
E01000071 ,"2,607"
E01000057 ,"1,550"
E01000073 ,"1,848"
E01000074 ,"1,759"
E01000075 ,"2,080"
E01000076 ,"2,161"
E01000013 ,"1,871"
E01000014 ,"1,751"
E01000059 ,"1,710"
E01000084 ,"1,438"
E01000085 ,"1,646"
E01000086 ,"1,449"
E01000103 ,"1,773"
E01000104 ,"1,915"
E01000105 ,"2,332"
E01000106 ,"2,207"
E01000007 ,"2,908"
E01000008 ,"1,795"
E01000012 ,"2,347"
E01034473 ,"1,266"
E01034474 ,"2,252"
E01000006 ,"1,845"
E01000009 ,"1,804"
E01000011 ,"1,701"
E01000044 ,"1,988"
E01000068 ,"1,795"
E01000041 ,"1,842"
E01000042 ,"1,882"
E01000045 ,"1,723"
E01000046 ,"1,956"
E01000072 ,"2,150"
E01000054 ,"1,871"
E01000055 ,"1,705"
E01000056 ,"1,702"
E01000058 ,"2,135"
E01000095 ,"2,250"
E01000040 ,"1,879"
E01000043 ,"1,537"
E01000050 ,"1,839"
E01000052 ,"2,368"
E01034475 ,"1,829"
E01034476 ,"1,821"
E01034477 ,"1,584"
E01034478 ,"1,198"
E01000053 ,"1,617"
E01000087 ,"1,636"
E01000088 ,"1,975"
E01000089 ,"1,824"
E01000090 ,"1,707"
E01000049 ,"1,973"
E01000051 ,"1,107"
E01033587 ,"2,456"
E01034479 ,"2,205"
E01000091 ,"2,091"
E01000093 ,"1,809"
E01000094 ,"2,461"
E01000096 ,"1,658"
E01000019 ,"1,657"
E01000020 ,"2,191"
