Lower layer Super Output Areas Code,Residents Population Density (per square kilometre)
E01000027 ,"1,412.0"
E01000028 ,"12,635.6"
E01000029 ,"7,080.6"
E01000030 ,"8,949.0"
E01000031 ,"2,098.6"
E01000032 ,"5,534.0"
E01000110 ,"8,083.2"
E01000111 ,"7,265.7"
E01000112 ,"7,102.7"
E01000113 ,"12,950.0"
E01000034 ,"3,066.6"
E01000037 ,"7,270.8"
E01000038 ,"7,547.9"
E01000039 ,"1,143.8"
E01000063 ,"9,812.4"
E01000100 ,"9,182.0"
E01000101 ,"10,366.1"
E01000114 ,"9,441.8"
E01034469 ,"6,921.9"
E01034470 ,"12,167.2"
E01000033 ,"10,619.4"
E01000060 ,"3,964.4"
E01000061 ,"3,153.2"
E01000062 ,"10,022.6"
E01000064 ,"10,996.2"
E01000065 ,"8,484.6"
E01000078 ,"10,802.0"
E01000080 ,"7,682.7"
E01000081 ,"10,635.1"
E01000082 ,"11,904.2"
E01000083 ,"10,667.0"
E01000102 ,"7,057.0"
E01000021 ,"9,953.0"
E01000022 ,"11,512.1"
E01000024 ,"11,547.4"
E01000025 ,"12,516.3"
E01000077 ,"9,890.7"
E01034471 ,"16,808.5"
E01034472 ,"39,746.8"
E01000015 ,"8,617.2"
E01000016 ,"9,310.9"
E01000017 ,"10,871.2"
E01000018 ,"10,212.8"
E01000079 ,"5,542.6"
E01000035 ,"4,681.4"
E01000036 ,"3,510.9"
E01000107 ,"3,332.1"
E01000108 ,"7,910.0"
E01000066 ,"10,204.2"
E01000067 ,"11,620.8"
E01000069 ,"10,453.9"
E01000070 ,"5,291.0"
E01000071 ,"9,630.5"
E01000057 ,"10,494.2"
E01000073 ,"6,493.3"
E01000074 ,"10,712.5"
E01000075 ,"4,020.1"
E01000076 ,"11,331.9"
E01000013 ,"9,003.8"
E01000014 ,"5,131.9"
E01000059 ,"8,201.4"
E01000084 ,"9,586.7"
E01000085 ,"11,328.3"
E01000086 ,"10,342.6"
E01000103 ,"2,528.2"
E01000104 ,"8,696.6"
E01000105 ,"10,556.8"
E01000106 ,"10,059.3"
E01000007 ,"14,540.0"
E01000008 ,"9,271.7"
E01000012 ,"16,702.3"
E01034473 ,"8,985.1"
E01034474 ,"10,657.8"
E01000006 ,"12,585.3"
E01000009 ,"14,104.8"
E01000011 ,"18,549.6"
E01000044 ,"11,641.3"
E01000068 ,"5,284.1"
E01000041 ,"12,070.8"
E01000042 ,"8,140.1"
E01000045 ,"5,776.1"
E01000046 ,"12,578.8"
E01000072 ,"4,131.1"
E01000054 ,"10,928.7"
E01000055 ,"11,678.1"
E01000056 ,"6,986.9"
E01000058 ,"11,717.9"
E01000095 ,982.2
E01000040 ,"11,007.6"
E01000043 ,"5,769.5"
E01000050 ,"13,355.1"
E01000052 ,"11,857.8"
E01034475 ,"3,458.1"
E01034476 ,"2,582.2"
E01034477 ,"13,322.1"
E01034478 ,930.8
E01000053 ,"8,938.6"
E01000087 ,"4,390.8"
E01000088 ,"8,723.5"
E01000089 ,"12,536.1"
E01000090 ,874.1
E01000049 ,"9,293.5"
E01000051 ,"16,621.6"
E01033587 ,"9,130.1"
E01034479 ,"10,714.3"
E01000091 ,"8,493.1"
E01000093 ,"6,157.2"
E01000094 ,"4,081.9"
E01000096 ,"2,752.3"
E01000019 ,"9,044.8"
E01000020 ,"11,704.1"
E01000097 ,"10,786.8"
E01000098 ,"11,037.6"
E01000099 ,"8,964.2"
E01032580 ,"12,087.6"
E01000248 ,"6,288.8"
E01000249 ,"1,984.3"
E01000250 ,"4,485.9"
E01000254 ,"1,047.9"
E01000292 ,"5,366.4"
E01000293 ,"6,476.6"
E01000167 ,"2,308.1"
E01000246 ,"1,412.1"
E01000247 ,"6,380.7"
E01000251 ,"10,143.5"
E01000252 ,"7,301.0"
E01000166 ,"4,381.9"
E01000168 ,"4,829.6"
E01000169 ,"6,838.6"
E01000172 ,"3,107.8"
E01000285 ,"7,486.4"
E01000287 ,"5,963.4"
E01000288 ,"4,587.5"
E01000289 ,"5,629.4"
E01000291 ,"6,254.0"
E01000294 ,"5,469.6"
E01000267 ,"5,463.3"
E01000268 ,"8,221.1"
E01000269 ,"5,103.1"
E01000270 ,"6,131.0"
E01000170 ,"6,428.3"
E01000171 ,"6,873.9"
E01000173 ,"4,621.3"
E01000174 ,"9,336.5"
E01000175 ,"4,055.5"
E01000228 ,497.6
E01000253 ,597.2
E01000279 ,270.7
E01000280 ,"1,315.8"
E01000286 ,"6,378.2"
E01000290 ,791.7
E01000271 ,"4,788.1"
E01000272 ,"3,036.6"
E01000273 ,"5,069.8"
E01000281 ,"6,645.6"
E01000282 ,"3,419.7"
E01000115 ,"5,091.2"
E01000116 ,"7,116.6"
E01000119 ,"4,511.8"
E01000120 ,"6,099.6"
E01000122 ,"6,404.1"
E01000117 ,"5,241.5"
E01000118 ,"7,187.0"
E01000121 ,"3,924.0"
E01000123 ,"3,341.6"
E01000124 ,"7,301.5"
E01000265 ,"9,117.6"
E01000266 ,"2,235.7"
E01000274 ,"7,245.5"
E01000320 ,"8,289.8"
E01000322 ,"9,086.0"
E01000275 ,"5,255.2"
E01000277 ,"8,929.7"
E01000283 ,"4,148.3"
E01000284 ,"6,543.5"
E01000321 ,"11,199.3"
E01000195 ,"6,405.5"
E01000229 ,"5,968.5"
E01000230 ,"7,212.8"
E01000231 ,"4,895.9"
E01000232 ,"6,270.1"
E01000233 ,"7,321.5"
E01000186 ,"6,947.8"
E01000187 ,"8,052.9"
E01000188 ,494.8
E01000189 ,"15,240.7"
E01000190 ,"6,974.2"
E01000191 ,"6,091.2"
E01000158 ,"5,414.2"
