Lower layer Super Output Areas Code,Sex (2 categories),Observation
E01000001,Female,686
E01000001,Male,789
E01000002,Female,607
E01000002,Male,777
E01000003,Female,755
E01000003,Male,858
E01000005,Female,545
E01000005,Male,555
E01000006,Female,902
E01000006,Male,943
E01000007,Female,1461
E01000007,Male,1447
E01000008,Female,948
E01000008,Male,847
E01000009,Female,856
E01000009,Male,949
E01000011,Female,789
E01000011,Male,912
E01000012,Female,1194
E01000012,Male,1153
E01000013,Female,970
E01000013,Male,901
E01000014,Female,895
E01000014,Male,856
E01000015,Female,1287
E01000015,Male,1131
E01000016,Female,981
E01000016,Male,870
E01000017,Female,898
E01000017,Male,826
E01000018,Female,908
E01000018,Male,868
E01000019,Female,819
E01000019,Male,838
E01000020,Female,1138
E01000020,Male,1053
E01000021,Female,856
E01000021,Male,837
E01000022,Female,762
E01000022,Male,714
E01000024,Female,746
E01000024,Male,739
E01000025,Female,928
E01000025,Male,989
E01000027,Female,1117
E01000027,Male,965
E01000028,Female,975
E01000028,Male,842
E01000029,Female,905
E01000029,Male,914
E01000030,Female,1365
E01000030,Male,1198
E01000031,Female,904
E01000031,Male,866
E01000032,Female,1049
E01000032,Male,1029
E01000033,Female,804
E01000033,Male,739
E01000034,Female,825
E01000034,Male,750
E01000035,Female,939
E01000035,Male,920
E01000036,Female,749
E01000036,Male,721
E01000037,Female,836
E01000037,Male,861
E01000038,Female,845
E01000038,Male,771
E01000039,Female,888
E01000039,Male,863
E01000040,Female,947
E01000040,Male,932
E01000041,Female,936
E01000041,Male,906
E01000042,Female,952
E01000042,Male,930
E01000043,Female,761
E01000043,Male,776
E01000044,Female,1029
E01000044,Male,959
E01000045,Female,889
E01000045,Male,836
E01000046,Female,1016
E01000046,Male,940
E01000049,Female,1040
E01000049,Male,933
E01000050,Female,921
E01000050,Male,918
E01000051,Female,560
E01000051,Male,547
E01000052,Female,1203
E01000052,Male,1165
E01000053,Female,826
E01000053,Male,791
E01000054,Female,972
E01000054,Male,901
E01000055,Female,861
E01000055,Male,844
E01000056,Female,916
E01000056,Male,786
E01000057,Female,835
E01000057,Male,715
E01000058,Female,1110
E01000058,Male,1025
E01000059,Female,893
E01000059,Male,812
E01000060,Female,1155
E01000060,Male,1025
E01000061,Female,1039
E01000061,Male,886
E01000062,Female,1155
E01000062,Male,1063
E01000063,Female,865
E01000063,Male,914
E01000064,Female,1199
E01000064,Male,1097
E01000065,Female,1001
E01000065,Male,981
E01000066,Female,1308
E01000066,Male,1188
E01000067,Female,1135
E01000067,Male,1102
E01000068,Female,844
E01000068,Male,951
E01000069,Female,1000
E01000069,Male,1096
E01000070,Female,1031
E01000070,Male,1042
E01000071,Female,1296
E01000071,Male,1310
E01000072,Female,1110
E01000072,Male,1039
E01000073,Female,953
E01000073,Male,895
E01000074,Female,913
E01000074,Male,846
E01000075,Female,1031
E01000075,Male,1047
E01000076,Female,1139
E01000076,Male,1022
E01000077,Female,872
E01000077,Male,849
E01000078,Female,996
E01000078,Male,903
E01000079,Female,898
E01000079,Male,818
E01000080,Female,892
E01000080,Male,887
E01000081,Female,1013
E01000081,Male,963
E01000082,Female,987
E01000082,Male,925
E01000083,Female,1038
E01000083,Male,881
E01000084,Female,736
E01000084,Male,702
E01000085,Female,866
E01000085,Male,780
E01000086,Female,759
E01000086,Male,690
E01000087,Female,840
E01000087,Male,796
E01000088,Female,1014
E01000088,Male,961
E01000089,Female,949
E01000089,Male,875
E01000090,Female,867
E01000090,Male,840
E01000091,Female,1078
E01000091,Male,1013
E01000093,Female,923
E01000093,Male,886
E01000094,Female,1293
E01000094,Male,1168
E01000095,Female,1156
E01000095,Male,1096
E01000096,Female,885
E01000096,Male,773
E01000097,Female,1004
E01000097,Male,929
E01000098,Female,997
E01000098,Male,939
E01000099,Female,1458
E01000099,Male,1320
E01000100,Female,1030
E01000100,Male,912
E01000101,Female,870
E01000101,Male,829
E01000102,Female,930
E01000102,Male,855
E01000103,Female,909
E01000103,Male,865
E01000104,Female,1003
E01000104,Male,912
E01000105,Female,1210
E01000105,Male,1122
E01000106,Female,1150
E01000106,Male,1057
E01000107,Female,926
E01000107,Male,860
E01000108,Female,995
E01000108,Male,920
E01000110,Female,788
E01000110,Male,785
E01000111,Female,1136
E01000111,Male,1016
E01000112,Female,1003
E01000112,Male,968
E01000113,Female,951
E01000113,Male,1044
E01000114,Female,1215
E01000114,Male,1204
E01000115,Female,704
E01000115,Male,691
E01000116,Female,910
E01000116,Male,835
E01000117,Female,905
E01000117,Male,832
E01000118,Female,1063
E01000118,Male,986
E01000119,Female,915
E01000119,Male,878
E01000120,Female,747
E01000120,Male,748
E01000121,Female,770
E01000121,Male,707
E01000122,Female,758
E01000122,Male,753
E01000123,Female,897
E01000123,Male,865
E01000124,Female,963
E01000124,Male,904
E01000126,Female,1201
E01000126,Male,1073
E01000127,Female,827
E01000127,Male,730
E01000128,Female,1039
E01000128,Male,1010
E01000129,Female,815
E01000129,Male,789
E01000130,Female,991
E01000130,Male,948
E01000131,Female,1036
E01000131,Male,985
E01000132,Female,851
E01000132,Male,766
E01000133,Female,859
E01000133,Male,786
E01000134,Female,944
E01000134,Male,880
E01000135,Female,854
E01000135,Male,849
E01000136,Female,801
E01000136,Male,685
E01000137,Female,916
E01000137,Male,742
E01000138,Female,825
E01000138,Male,793
E01000139,Female,703
E01000139,Male,685
E01000140,Female,1026
E01000140,Male,931
E01000141,Female,958
E01000141,Male,906
E01000142,Female,1167
E01000142,Male,1069
E01000143,Female,817
E01000143,Male,854
E01000144,Female,832
E01000144,Male,828
E01000145,Female,826
E01000145,Male,789
E01000146,Female,948
E01000146,Male,924
E01000147,Female,937
E01000147,Male,976
E01000150,Female,1135
E01000150,Male,1120
E01000151,Female,883
E01000151,Male,838
E01000152,Female,1391
E01000152,Male,1302
E01000153,Female,1015
E01000153,Male,914
E01000154,Female,1008
E01000154,Male,907
E01000156,Female,1062
E01000156,Male,964
E01000157,Female,806
E01000157,Male,776
E01000158,Female,773
E01000158,Male,691
E01000159,Female,906
E01000159,Male,880
E01000160,Female,985
E01000160,Male,970
E01000161,Female,1072
E01000161,Male,962
E01000162,Female,866
E01000162,Male,783
E01000163,Female,920
E01000163,Male,773
E01000164,Female,871
E01000164,Male,842
E01000165,Female,960
E01000165,Male,852
E01000166,Female,828
E01000166,Male,792
E01000167,Female,713
E01000167,Male,676
E01000168,Female,772
E01000168,Male,744
E01000169,Female,851
E01000169,Male,780
E01000170,Female,1001
E01000170,Male,906
E01000171,Female,1173
E01000171,Male,1118
E01000172,Female,873
E01000172,Male,817
E01000173,Female,862
E01000173,Male,828
E01000174,Female,911
E01000174,Male,848
E01000175,Female,980
E01000175,Male,1051
E01000176,Female,841
E01000176,Male,881
E01000177,Female,865
E01000177,Male,798
E01000178,Female,887
E01000178,Male,786
E01000179,Female,966
E01000179,Male,823
E01000180,Female,871
E01000180,Male,745
E01000181,Female,882
E01000181,Male,806
E01000182,Female,848
E01000182,Male,771
E01000183,Female,823
E01000183,Male,699
E01000184,Female,953
E01000184,Male,920
E01000185,Female,768
E01000185,Male,706
E01000186,Female,916
E01000186,Male,855
E01000187,Female,900
E01000187,Male,837
E01000188,Female,812
E01000188,Male,766
E01000189,Female,1306
E01000189,Male,1163
E01000190,Female,891
E01000190,Male,840
E01000191,Female,762
E01000191,Male,787
E01000192,Female,1037
E01000192,Male,960
E01000193,Female,1009
E01000193,Male,939
E01000194,Female,1000
E01000194,Male,906
E01000195,Female,996
E01000195,Male,1023
E01000196,Female,1084
E01000196,Male,1040
E01000197,Female,967
E01000197,Male,884
E01000198,Female,1134
E01000198,Male,1059
E01000199,Female,841
E01000199,Male,739
E01000200,Female,1078
E01000200,Male,900
E01000201,Female,775
E01000201,Male,766
E01000202,Female,863
E01000202,Male,811
E01000203,Female,1006
E01000203,Male,838
E01000204,Female,904
E01000204,Male,799
E01000205,Female,822
E01000205,Male,684
E01000206,Female,785
E01000206,Male,716
E01000207,Female,853
E01000207,Male,726
E01000208,Female,876
E01000208,Male,754
E01000209,Female,825
E01000209,Male,658
E01000210,Female,815
E01000210,Male,733
E01000211,Female,1129
E01000211,Male,999
E01000212,Female,685
E01000212,Male,664
E01000213,Female,697
E01000213,Male,654
E01000214,Female,851
E01000214,Male,776
E01000215,Female,1092
E01000215,Male,1055
E01000216,Female,1051
E01000216,Male,927
E01000217,Female,927
E01000217,Male,858
E01000218,Female,946
E01000218,Male,898
E01000219,Female,1046
E01000219,Male,1150
E01000220,Female,915
E01000220,Male,973
E01000221,Female,745
E01000221,Male,667
E01000222,Female,1065
E01000222,Male,973
E01000223,Female,1034
E01000223,Male,998
E01000224,Female,871
E01000224,Male,821
E01000225,Female,925
E01000225,Male,945
E01000226,Female,914
E01000226,Male,821
E01000227,Female,940
E01000227,Male,929
E01000228,Female,752
E01000228,Male,684
E01000229,Female,852
E01000229,Male,818
E01000230,Female,1002
E01000230,Male,957
E01000231,Female,940
E01000231,Male,849
E01000232,Female,952
E01000232,Male,919
E01000233,Female,1006
E01000233,Male,932
E01000234,Female,938
E01000234,Male,843
E01000235,Female,958
E01000235,Male,904
E01000236,Female,995
E01000236,Male,955
E01000237,Female,1051
E01000237,Male,1051
E01000238,Female,1057
E01000238,Male,1039
E01000239,Female,1025
E01000239,Male,1033
E01000240,Female,908
E01000240,Male,826
E01000241,Female,873
E01000241,Male,915
E01000242,Female,779
E01000242,Male,822
E01000243,Female,1111
E01000243,Male,1052
E01000244,Female,832
E01000244,Male,806
E01000245,Female,1055
E01000245,Male,1002
E01000246,Female,792
E01000246,Male,728
E01000247,Female,871
