lsoa21cd,tfv_count
E01000011,21
E01000046,17
E01000051,22
E01000077,17
E01000083,9
E01032580,24
E01034472,13
E01000006,30
E01000009,43
E01000022,8
E01000074,20
E01000084,14
E01000089,18
E01000097,21
E01000113,18
E01034470,8
E01034473,75
E01034477,13
E01000012,41
E01000017,11
E01000024,11
E01000038,22
E01000040,19
E01000041,11
E01000043,25
E01000050,26
E01000058,20
E01000076,14
E01000081,14
E01000082,18
E01000085,19
E01000086,19
E01000025,20
E01000028,14
E01000033,7
E01000042,14
E01000052,26
E01000055,17
E01000063,14
E01000078,19
E01034474,40
E01000016,15
E01000018,16
E01000044,17
E01000049,47
E01000066,20
E01000067,27
E01000101,15
E01000108,21
E01000110,17
E01000021,32
E01000037,12
E01000054,17
E01000059,27
E01034471,41
E01000007,44
E01000008,40
E01000057,18
E01000062,20
E01000064,26
E01000065,23
E01000099,24
E01000104,24
E01000106,45
E01000114,22
E01000019,14
E01000053,16
E01000100,18
E01033587,165
E01034469,24
E01034479,43
E01000020,10
E01000069,25
E01000075,23
E01000088,23
E01000091,23
E01000102,21
E01000013,20
E01000015,19
E01000068,27
E01000045,30
E01000056,90
E01000071,33
E01000079,21
E01000105,37
E01000035,37
E01000073,16
E01000087,155
E01000098,16
E01000032,21
E01000072,28
E01000080,14
E01000093,31
E01000111,36
E01000112,69
E01000014,25
E01000029,30
E01000070,36
E01000061,34
E01000103,26
E01000036,13
E01000107,19
E01000096,59
E01000030,53
E01034475,47
E01034476,74
E01000031,24
E01000094,31
E01000060,33
E01000034,8
E01000027,26
E01000039,20
E01000090,27
E01034478,20
E01000095,122
E01033917,4
E01033918,15
E01033919,2
E01033921,4
E01000133,18
E01000181,17
E01000185,20
E01000189,33
E01000226,22
E01000306,17
E01000312,19
E01033916,16
E01033922,10
E01033923,15
E01000126,37
E01000134,17
E01000137,31
E01000145,26
E01000151,21
E01000154,28
E01000165,47
E01000217,21
E01000219,47
E01000236,41
E01033913,37
E01000140,37
E01000143,40
E01000147,37
E01000182,41
E01000216,38
E01000224,30
E01000238,39
E01000242,24
E01000277,33
E01000295,51
E01000297,20
E01000299,38
E01000300,18
E01000304,20
E01000317,23
E01000319,21
E01033915,9
E01000130,25
E01000163,38
E01000179,29
E01000215,25
E01000220,25
E01000269,7
E01000293,15
E01033920,10
E01000120,17
E01000127,21
E01000157,20
E01000180,16
E01000225,20
E01000245,74
E01000286,8
E01000309,23
E01000311,43
E01000314,34
E01000321,27
E01000117,27
E01000132,19
E01000144,63
E01000153,29
E01000174,28
E01000202,44
E01000265,27
E01000320,18
E01000324,28
E01033912,4
E01033914,30
E01000124,49
E01000142,50
E01000150,274
E01000156,26
E01000162,23
E01000169,18
E01000176,25
E01000190,21
E01000197,31
E01000205,54
E01000227,18
E01000251,24
E01000291,7
E01000292,14
E01000191,14
E01000218,10
E01000252,18
E01000267,19
E01000289,21
E01033924,18
E01000115,23
E01000122,17
E01000128,34
E01000131,30
E01000152,33
E01000158,29
E01000170,21
E01000177,20
E01000263,14
E01000281,21
E01000287,8
E01000294,45
E01000313,30
E01000138,29
E01000146,66
E01000168,14
E01000171,66
E01000183,36
E01000187,8
E01000192,32
E01000195,329
E01000196,36
E01000285,7
E01000298,21
E01000315,34
E01000323,31
E01000116,19
E01000214,47
E01000231,23
E01000235,27
E01000243,27
E01000270,20
E01000302,30
E01000322,21
E01000200,22
E01000203,43
E01000229,13
E01000232,26
E01000247,12
E01000271,41
E01000303,20
E01000318,28
E01000136,49
E01000141,146
E01000159,37
E01000160,71
E01000173,28
E01000201,37
E01000204,34
E01000237,29
E01000278,12
E01000296,48
E01000316,86
E01000161,31
E01000166,20
E01000194,47
E01000199,32
E01000208,40
E01000209,42
E01000248,29
E01000284,22
E01000301,19
E01000139,39
E01000167,20
E01000186,15
E01000198,31
E01000222,21
E01000223,78
E01000234,23
E01000274,38
E01000121,8
E01000123,49
E01000164,86
E01000178,30
E01000184,28
E01000193,50
E01000210,36
E01000213,49
E01000239,30
E01000240,34
E01000288,15
E01000119,25
E01000212,34
E01000230,16
E01000233,29
E01000241,30
E01000268,45
E01000273,16
E01000283,15
E01000307,178
E01000129,26
E01000135,33
E01000175,18
E01000211,39
E01000221,143
E01000244,31
E01000272,26
E01000275,28
E01000172,13
E01000207,50
E01000257,45
E01000308,27
E01033925,16
E01000118,28
E01000264,45
E01000266,29
E01000310,48
E01000250,36
E01000276,18
E01000280,8
E01000249,12
E01000282,17
E01000256,21
E01000260,44
E01000261,14
E01000305,109
E01000259,30
E01000206,84
E01000255,22
E01000228,16
E01000258,25
E01000188,17
E01000246,26
E01000254,27
E01000253,16
E01000290,9
E01033911,27
E01000279,12
E01000373,18
E01000411,10
E01000438,12
E01000452,14
E01000456,14
E01000464,46
E01033789,14
E01000426,7
E01033790,8
E01000368,16
E01000396,16
E01000401,12
E01000431,14
E01000347,15
E01000357,10
E01000370,11
E01000419,14
E01000423,6
E01000453,11
E01000463,10
E01000326,10
E01000366,14
E01000409,10
E01000410,7
E01000415,7
E01000416,68
E01000435,14
E01000454,17
E01000455,8
E01000337,22
E01000341,3
E01000422,39
E01000446,12
E01000342,10
E01000355,6
E01000371,14
E01000393,22
E01000395,10
E01000436,6
E01000437,8
E01000439,12
E01000441,22
E01000450,16
E01000459,16
E01000467,22
E01000325,3
E01000345,12
E01000348,14
E01000364,19
E01000369,9
E01000413,8
E01000440,8
E01000443,5
E01000451,11
E01000333,29
E01000354,7
E01000372,15
E01000384,13
E01000392,16
E01000404,17
E01000424,14
E01000465,27
E01000469,7
E01000336,27
E01000380,17
E01000394,15
E01000425,13
E01000458,15
E01000470,56
E01000327,12
E01000332,10
E01000340,6
E01000343,7
E01000349,11
E01000356,12
E01000379,13
E01000398,8
E01000402,9
E01000414,16
E01000427,29
E01032566,12
E01000334,13
E01000358,14
E01000365,6
E01000367,15
E01000391,13
E01000412,19
E01000420,20
E01000449,35
E01000330,6
E01000353,10
E01000362,25
E01000421,10
E01000442,10
E01000461,5
E01000339,13
E01000360,30
E01000387,9
E01000388,15
E01000399,23
E01000429,27
E01000433,33
E01033791,50
E01000338,21
E01000351,17
E01000375,23
E01000406,20
E01000407,18
E01000418,22
E01000460,5
E01000329,5
E01000344,9
E01000382,10
E01000457,55
E01000346,7
E01000352,18
E01000359,13
E01000389,5
E01000390,14
E01000400,17
E01000350,6
E01000361,11
E01000385,48
E01000331,37
E01000363,10
E01000448,5
E01000468,34
E01000417,41
E01000328,11
E01000386,49
E01000428,65
E01000374,26
E01000377,14
E01000405,26
E01000444,15
E01000462,41
E01000403,69
E01000445,5
E01000376,4
E01000408,31
E01000434,15
E01000335,66
E01000430,25
E01000447,88
E01033792,26
E01000381,11
E01000466,50
E01000383,21
E01000471,10
E01000509,30
E01000522,39
E01000532,23
E01000546,42
E01000547,29
E01000549,33
E01000552,15
E01000556,71
E01000559,30
E01000561,59
E01000584,27
E01000585,17
E01000599,21
E01000603,7
E01000611,17
E01000616,23
E01000637,37
E01033485,34
E01033936,11
E01033939,22
E01033940,17
E01033941,9
E01000505,28
E01000508,65
E01000523,62
E01000531,34
E01000544,27
E01000545,77
E01000548,42
E01000551,34
E01000553,51
E01000570,7
E01000572,4
E01000579,28
E01000593,21
E01000629,20
E01033455,17
E01033929,76
E01033933,19
E01033937,15
E01000483,22
E01000513,25
E01000517,22
E01000526,37
E01000550,58
E01000557,50
E01000558,55
E01000560,51
E01000567,10
E01000574,14
E01000581,32
E01000592,36
E01000602,26
E01000606,34
E01000607,21
E01000619,17
E01000639,31
E01000642,55
E01000644,50
E01033457,26
E01033934,38
E01033935,12
E01000490,41
E01000493,26
E01000504,31
E01000514,21
E01000520,13
E01000521,62
E01000530,28
E01000555,24
E01000594,42
E01000595,24
E01000612,9
E01000613,14
E01000617,31
E01000632,13
E01000640,47
E01033930,27
E01000488,23
E01000492,35
E01000512,26
E01000528,27
E01000541,16
E01000569,14
E01000573,8
E01000583,52
E01000636,15
E01000641,72
E01000485,13
E01000494,40
E01000507,24
E01000510,47
E01000525,37
E01000527,36
E01000534,48
E01000554,56
E01000604,23
E01000605,84
E01000634,8
