lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,layer,path,LSOA code,LSOA name,Community buildings,Leisure and recreational buildings,Community service Total,Defence Total,Industry,Offices,Retail,Storage and warehousing,Industry and commerce Total,Landfill and waste disposal,Minerals and mining,Minerals and landfill Total,Institutional and communal accommo-dations,Residential,Residential Total,Highways and road transport,Transport (other),Utilities,Transport and utilities Total,Unidentified building,Unidentified general manmade surface,Unidentified structure,Unknown,Unknown developed use Total,Developed use Total,Agricultural buildings,Agricultural land,Agriculture Total,Forestry and woodland,Natural land,Rough grassland,Water,"Forest, open land and water Total",Outdoor recreation Total,Residential gardens Total,Undeveloped land Total,Non-developed Total,Vacant Total
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,Greater London LSOAs by separate boroughs/Barking and Dagenham.shp,/vsizip/C:\Users\timuk\OneDrive\Desktop\Dissertation\Greater London LSOAs by separate boroughs.zip/Greater London LSOAs by separate boroughs/Barking and Dagenham.shp|layername=Barking and Dagenham,E01000011,Barking and Dagenham 016C,0.042052868,,0.042052868,,,0.068381469,0.621494373,,0.689875842,,,,0.139583988,29.08659851,29.2261825,19.96682622,0.010765655,0.023932233,20.00152411,0.351891981,3.043125649,,,3.39501763,53.35465295,,,,,,,0.269657345,0.269657345,10.86921497,35.33799296,0.168481775,46.64534705,
E01000046,Barking and Dagenham 017D,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,Greater London LSOAs by separate boroughs/Barking and Dagenham.shp,/vsizip/C:\Users\timuk\OneDrive\Desktop\Dissertation\Greater London LSOAs by separate boroughs.zip/Greater London LSOAs by separate boroughs/Barking and Dagenham.shp|layername=Barking and Dagenham,E01000046,Barking and Dagenham 017D,2.443817582,,2.443817582,,,,,,,,,,,19.83191164,19.83191164,18.50807313,0.008203107,0.022747677,18.53902391,0.165558762,2.359550731,,,2.525109492,43.33986262,,,,,,,,,,56.01421948,0.645917893,56.66013738,
E01000051,Barking and Dagenham 021D,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,Greater London LSOAs by separate boroughs/Barking and Dagenham.shp,/vsizip/C:\Users\timuk\OneDrive\Desktop\Dissertation\Greater London LSOAs by separate boroughs.zip/Greater London LSOAs by separate boroughs/Barking and Dagenham.shp|layername=Barking and Dagenham,E01000051,Barking and Dagenham 021D,0.919527341,,0.919527341,,,0.665861099,0.572482467,,1.238343565,,,,,21.22324024,21.22324024,23.46517504,0.012380915,0.092336074,23.56989202,0.255337584,5.533628176,,,5.788965759,52.73996893,,,,,,,,,0.013322374,5.492454561,2.345783961,7.851560897,39.40847017
E01000077,Barking and Dagenham 008F,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,Greater London LSOAs by separate boroughs/Barking and Dagenham.shp,/vsizip/C:\Users\timuk\OneDrive\Desktop\Dissertation\Greater London LSOAs by separate boroughs.zip/Greater London LSOAs by separate boroughs/Barking and Dagenham.shp|layername=Barking and Dagenham,E01000077,Barking and Dagenham 008F,14.90074746,,14.90074746,,,0.043510099,0.482339196,,0.525849295,,,,,15.91030134,15.91030134,19.3814778,0.012343173,0.022054082,19.41587506,0.244659983,1.303784772,,,1.548444756,52.30121791,,2.436569802,2.436569802,,,,,,,43.98150804,1.280704248,47.69878209,
E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,Greater London LSOAs by separate boroughs/Barking and Dagenham.shp,/vsizip/C:\Users\timuk\OneDrive\Desktop\Dissertation\Greater London LSOAs by separate boroughs.zip/Greater London LSOAs by separate boroughs/Barking and Dagenham.shp|layername=Barking and Dagenham,E01000083,Barking and Dagenham 007F,0.259047811,,0.259047811,,,,0.022076437,,0.022076437,,,,0.029886342,17.41503082,17.44491716,22.84046032,0.020439857,0.360405375,23.22130555,0.07030666,1.305867153,,,1.376173812,42.32352077,,7.456889615,7.456889615,,,,,,,47.35139404,2.86819557,57.67647923,
E01032580,Barking and Dagenham 023F,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,Greater London LSOAs by separate boroughs/Barking and Dagenham.shp,/vsizip/C:\Users\timuk\OneDrive\Desktop\Dissertation\Greater London LSOAs by separate boroughs.zip/Greater London LSOAs by separate boroughs/Barking and Dagenham.shp|layername=Barking and Dagenham,E01032580,Barking and Dagenham 023F,1.326087831,0.064179855,1.390267686,,0.012564476,0.051526861,6.453356938,,7.761331359,,,,,18.36258964,18.36258964,19.78654872,0.015572511,0.708536241,20.51065748,1.195272378,2.54812506,,,3.743397438,51.7682436,,,,,,,,,0.172268906,46.41932213,1.117816753,47.70940779,0.522348614
E01034472,Barking and Dagenham 008H,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,Greater London LSOAs by separate boroughs/Barking and Dagenham.shp,/vsizip/C:\Users\timuk\OneDrive\Desktop\Dissertation\Greater London LSOAs by separate boroughs.zip/Greater London LSOAs by separate boroughs/Barking and Dagenham.shp|layername=Barking and Dagenham,E01034472,Barking and Dagenham 008H,5.448314401,,5.448314401,,,,,,,,,,,27.08569408,27.08569408,16.44379017,,,16.44379017,0.26392577,15.03816237,,,15.30208814,64.2798868,,,,,,0.566781445,0.191654095,0.758435539,8.889955832,5.574563369,20.49715846,35.7201132,
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,Greater London LSOAs by separate boroughs/Barking and Dagenham.shp,/vsizip/C:\Users\timuk\OneDrive\Desktop\Dissertation\Greater London LSOAs by separate boroughs.zip/Greater London LSOAs by separate boroughs/Barking and Dagenham.shp|layername=Barking and Dagenham,E01000006,Barking and Dagenham 016A,0.092979279,,0.092979279,,,,,,,,,,,20.96587737,20.96587737,17.82346679,16.93398172,0.038072672,34.79552118,0.139329787,4.007635887,,,4.146965674,60.0013435,,,,,,,,,,36.162625,3.8360315,39.9986565,
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,Greater London LSOAs by separate boroughs/Barking and Dagenham.shp,/vsizip/C:\Users\timuk\OneDrive\Desktop\Dissertation\Greater London LSOAs by separate boroughs.zip/Greater London LSOAs by separate boroughs/Barking and Dagenham.shp|layername=Barking and Dagenham,E01000009,Barking and Dagenham 016B,0.701058883,,0.701058883,,0.004586263,0.527330234,4.427000091,0.084485317,5.497441929,,,,0.003738006,22.73319889,22.73693689,25.78143932,4.675254925,1.134521139,31.59121538,1.734014125,6.647668056,,,8.381682181,68.90833527,,,,,,,,,0.75185662,26.54956298,3.790245134,31.09166473,
E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,Greater London LSOAs by separate boroughs/Barking and Dagenham.shp,/vsizip/C:\Users\timuk\OneDrive\Desktop\Dissertation\Greater London LSOAs by separate boroughs.zip/Greater London LSOAs by separate boroughs/Barking and Dagenham.shp|layername=Barking and Dagenham,E01000022,Barking and Dagenham 008B,,,,,0.001361738,,,,0.136173784,,,,0.202228024,19.12271476,19.32494279,22.46787126,,0.079149787,22.54702105,0.111877145,1.114521552,,,1.226398697,43.23453632,,,,,,,,,,55.17881972,1.151492117,56.33031184,0.435151842
