Lower layer Super Output Areas Code,Age (6 categories),Observation
E01000001,Aged 15 years and under,125
E01000001,Aged 16 to 24 years,110
E01000001,Aged 25 to 34 years,291
E01000001,Aged 35 to 49 years,336
E01000001,Aged 50 to 64 years,245
E01000001,Aged 65 years and over,370
E01000002,Aged 15 years and under,86
E01000002,Aged 16 to 24 years,123
E01000002,Aged 25 to 34 years,300
E01000002,Aged 35 to 49 years,301
E01000002,Aged 50 to 64 years,297
E01000002,Aged 65 years and over,277
E01000003,Aged 15 years and under,110
E01000003,Aged 16 to 24 years,114
E01000003,Aged 25 to 34 years,353
E01000003,Aged 35 to 49 years,368
E01000003,Aged 50 to 64 years,384
E01000003,Aged 65 years and over,285
E01000005,Aged 15 years and under,139
E01000005,Aged 16 to 24 years,195
E01000005,Aged 25 to 34 years,216
E01000005,Aged 35 to 49 years,208
E01000005,Aged 50 to 64 years,235
E01000005,Aged 65 years and over,105
E01000006,Aged 15 years and under,414
E01000006,Aged 16 to 24 years,222
E01000006,Aged 25 to 34 years,305
E01000006,Aged 35 to 49 years,471
E01000006,Aged 50 to 64 years,276
E01000006,Aged 65 years and over,156
E01000007,Aged 15 years and under,748
E01000007,Aged 16 to 24 years,298
E01000007,Aged 25 to 34 years,678
E01000007,Aged 35 to 49 years,792
E01000007,Aged 50 to 64 years,318
E01000007,Aged 65 years and over,73
E01000008,Aged 15 years and under,537
E01000008,Aged 16 to 24 years,267
E01000008,Aged 25 to 34 years,247
E01000008,Aged 35 to 49 years,396
E01000008,Aged 50 to 64 years,283
E01000008,Aged 65 years and over,67
E01000009,Aged 15 years and under,396
E01000009,Aged 16 to 24 years,186
E01000009,Aged 25 to 34 years,321
E01000009,Aged 35 to 49 years,466
E01000009,Aged 50 to 64 years,271
E01000009,Aged 65 years and over,164
E01000011,Aged 15 years and under,382
E01000011,Aged 16 to 24 years,222
E01000011,Aged 25 to 34 years,291
E01000011,Aged 35 to 49 years,440
E01000011,Aged 50 to 64 years,236
E01000011,Aged 65 years and over,130
E01000012,Aged 15 years and under,769
E01000012,Aged 16 to 24 years,246
E01000012,Aged 25 to 34 years,387
E01000012,Aged 35 to 49 years,578
E01000012,Aged 50 to 64 years,275
E01000012,Aged 65 years and over,92
E01000013,Aged 15 years and under,473
E01000013,Aged 16 to 24 years,203
E01000013,Aged 25 to 34 years,285
E01000013,Aged 35 to 49 years,439
E01000013,Aged 50 to 64 years,299
E01000013,Aged 65 years and over,171
E01000014,Aged 15 years and under,430
E01000014,Aged 16 to 24 years,191
E01000014,Aged 25 to 34 years,270
E01000014,Aged 35 to 49 years,406
E01000014,Aged 50 to 64 years,292
E01000014,Aged 65 years and over,161
E01000015,Aged 15 years and under,684
E01000015,Aged 16 to 24 years,269
E01000015,Aged 25 to 34 years,373
E01000015,Aged 35 to 49 years,544
E01000015,Aged 50 to 64 years,386
E01000015,Aged 65 years and over,165
E01000016,Aged 15 years and under,451
E01000016,Aged 16 to 24 years,221
E01000016,Aged 25 to 34 years,282
E01000016,Aged 35 to 49 years,409
E01000016,Aged 50 to 64 years,324
E01000016,Aged 65 years and over,164
E01000017,Aged 15 years and under,421
E01000017,Aged 16 to 24 years,198
E01000017,Aged 25 to 34 years,232
E01000017,Aged 35 to 49 years,372
E01000017,Aged 50 to 64 years,335
E01000017,Aged 65 years and over,166
E01000018,Aged 15 years and under,421
E01000018,Aged 16 to 24 years,205
E01000018,Aged 25 to 34 years,258
E01000018,Aged 35 to 49 years,428
E01000018,Aged 50 to 64 years,315
E01000018,Aged 65 years and over,146
E01000019,Aged 15 years and under,481
E01000019,Aged 16 to 24 years,167
E01000019,Aged 25 to 34 years,224
E01000019,Aged 35 to 49 years,389
E01000019,Aged 50 to 64 years,263
E01000019,Aged 65 years and over,133
E01000020,Aged 15 years and under,584
E01000020,Aged 16 to 24 years,270
E01000020,Aged 25 to 34 years,285
E01000020,Aged 35 to 49 years,491
E01000020,Aged 50 to 64 years,338
E01000020,Aged 65 years and over,223
E01000021,Aged 15 years and under,459
E01000021,Aged 16 to 24 years,194
E01000021,Aged 25 to 34 years,267
E01000021,Aged 35 to 49 years,384
E01000021,Aged 50 to 64 years,254
E01000021,Aged 65 years and over,138
E01000022,Aged 15 years and under,385
E01000022,Aged 16 to 24 years,161
E01000022,Aged 25 to 34 years,206
E01000022,Aged 35 to 49 years,339
E01000022,Aged 50 to 64 years,246
E01000022,Aged 65 years and over,142
E01000024,Aged 15 years and under,365
E01000024,Aged 16 to 24 years,192
E01000024,Aged 25 to 34 years,221
E01000024,Aged 35 to 49 years,337
E01000024,Aged 50 to 64 years,245
E01000024,Aged 65 years and over,126
E01000025,Aged 15 years and under,473
E01000025,Aged 16 to 24 years,209
E01000025,Aged 25 to 34 years,260
E01000025,Aged 35 to 49 years,428
E01000025,Aged 50 to 64 years,353
E01000025,Aged 65 years and over,197
E01000027,Aged 15 years and under,599
E01000027,Aged 16 to 24 years,243
E01000027,Aged 25 to 34 years,316
E01000027,Aged 35 to 49 years,423
E01000027,Aged 50 to 64 years,315
E01000027,Aged 65 years and over,184
E01000028,Aged 15 years and under,468
E01000028,Aged 16 to 24 years,231
E01000028,Aged 25 to 34 years,252
E01000028,Aged 35 to 49 years,391
E01000028,Aged 50 to 64 years,279
E01000028,Aged 65 years and over,198
E01000029,Aged 15 years and under,380
E01000029,Aged 16 to 24 years,187
E01000029,Aged 25 to 34 years,230
E01000029,Aged 35 to 49 years,384
E01000029,Aged 50 to 64 years,269
E01000029,Aged 65 years and over,370
E01000030,Aged 15 years and under,849
E01000030,Aged 16 to 24 years,242
E01000030,Aged 25 to 34 years,386
E01000030,Aged 35 to 49 years,584
E01000030,Aged 50 to 64 years,328
E01000030,Aged 65 years and over,173
E01000031,Aged 15 years and under,373
E01000031,Aged 16 to 24 years,221
E01000031,Aged 25 to 34 years,254
E01000031,Aged 35 to 49 years,372
E01000031,Aged 50 to 64 years,297
E01000031,Aged 65 years and over,251
E01000032,Aged 15 years and under,492
E01000032,Aged 16 to 24 years,213
E01000032,Aged 25 to 34 years,318
E01000032,Aged 35 to 49 years,483
E01000032,Aged 50 to 64 years,315
E01000032,Aged 65 years and over,256
E01000033,Aged 15 years and under,425
E01000033,Aged 16 to 24 years,152
E01000033,Aged 25 to 34 years,217
E01000033,Aged 35 to 49 years,325
E01000033,Aged 50 to 64 years,262
E01000033,Aged 65 years and over,164
E01000034,Aged 15 years and under,309
E01000034,Aged 16 to 24 years,174
E01000034,Aged 25 to 34 years,231
E01000034,Aged 35 to 49 years,310
E01000034,Aged 50 to 64 years,286
E01000034,Aged 65 years and over,266
E01000035,Aged 15 years and under,401
E01000035,Aged 16 to 24 years,220
E01000035,Aged 25 to 34 years,270
E01000035,Aged 35 to 49 years,409
E01000035,Aged 50 to 64 years,310
E01000035,Aged 65 years and over,248
E01000036,Aged 15 years and under,310
E01000036,Aged 16 to 24 years,193
E01000036,Aged 25 to 34 years,222
E01000036,Aged 35 to 49 years,307
E01000036,Aged 50 to 64 years,274
E01000036,Aged 65 years and over,165
E01000037,Aged 15 years and under,293
E01000037,Aged 16 to 24 years,197
E01000037,Aged 25 to 34 years,282
E01000037,Aged 35 to 49 years,342
E01000037,Aged 50 to 64 years,338
E01000037,Aged 65 years and over,246
E01000038,Aged 15 years and under,329
E01000038,Aged 16 to 24 years,178
E01000038,Aged 25 to 34 years,226
E01000038,Aged 35 to 49 years,310
E01000038,Aged 50 to 64 years,322
E01000038,Aged 65 years and over,250
E01000039,Aged 15 years and under,395
E01000039,Aged 16 to 24 years,178
E01000039,Aged 25 to 34 years,267
E01000039,Aged 35 to 49 years,367
E01000039,Aged 50 to 64 years,305
E01000039,Aged 65 years and over,239
E01000040,Aged 15 years and under,472
E01000040,Aged 16 to 24 years,257
E01000040,Aged 25 to 34 years,238
E01000040,Aged 35 to 49 years,470
E01000040,Aged 50 to 64 years,264
E01000040,Aged 65 years and over,178
E01000041,Aged 15 years and under,465
E01000041,Aged 16 to 24 years,204
E01000041,Aged 25 to 34 years,268
E01000041,Aged 35 to 49 years,437
E01000041,Aged 50 to 64 years,296
E01000041,Aged 65 years and over,171
E01000042,Aged 15 years and under,557
E01000042,Aged 16 to 24 years,209
E01000042,Aged 25 to 34 years,265
E01000042,Aged 35 to 49 years,481
E01000042,Aged 50 to 64 years,250
E01000042,Aged 65 years and over,120
E01000043,Aged 15 years and under,323
E01000043,Aged 16 to 24 years,231
E01000043,Aged 25 to 34 years,238
E01000043,Aged 35 to 49 years,318
E01000043,Aged 50 to 64 years,265
E01000043,Aged 65 years and over,166
E01000044,Aged 15 years and under,482
E01000044,Aged 16 to 24 years,262
E01000044,Aged 25 to 34 years,307
E01000044,Aged 35 to 49 years,462
E01000044,Aged 50 to 64 years,357
E01000044,Aged 65 years and over,118
E01000045,Aged 15 years and under,440
E01000045,Aged 16 to 24 years,193
E01000045,Aged 25 to 34 years,260
E01000045,Aged 35 to 49 years,401
E01000045,Aged 50 to 64 years,273
E01000045,Aged 65 years and over,155
E01000046,Aged 15 years and under,504
E01000046,Aged 16 to 24 years,227
E01000046,Aged 25 to 34 years,297
E01000046,Aged 35 to 49 years,451
E01000046,Aged 50 to 64 years,313
E01000046,Aged 65 years and over,164
E01000049,Aged 15 years and under,617
E01000049,Aged 16 to 24 years,312
E01000049,Aged 25 to 34 years,215
E01000049,Aged 35 to 49 years,515
E01000049,Aged 50 to 64 years,231
E01000049,Aged 65 years and over,83
E01000050,Aged 15 years and under,473
E01000050,Aged 16 to 24 years,182
E01000050,Aged 25 to 34 years,317
E01000050,Aged 35 to 49 years,449
E01000050,Aged 50 to 64 years,260
E01000050,Aged 65 years and over,158
E01000051,Aged 15 years and under,321
E01000051,Aged 16 to 24 years,89
E01000051,Aged 25 to 34 years,306
E01000051,Aged 35 to 49 years,265
E01000051,Aged 50 to 64 years,100
E01000051,Aged 65 years and over,26
E01000052,Aged 15 years and under,665
E01000052,Aged 16 to 24 years,210
E01000052,Aged 25 to 34 years,358
E01000052,Aged 35 to 49 years,610
E01000052,Aged 50 to 64 years,330
E01000052,Aged 65 years and over,195
E01000053,Aged 15 years and under,408
E01000053,Aged 16 to 24 years,150
E01000053,Aged 25 to 34 years,227
E01000053,Aged 35 to 49 years,359
E01000053,Aged 50 to 64 years,279
E01000053,Aged 65 years and over,197
E01000054,Aged 15 years and under,501
E01000054,Aged 16 to 24 years,202
E01000054,Aged 25 to 34 years,251
E01000054,Aged 35 to 49 years,445
E01000054,Aged 50 to 64 years,267
E01000054,Aged 65 years and over,203
E01000055,Aged 15 years and under,421
E01000055,Aged 16 to 24 years,216
E01000055,Aged 25 to 34 years,229
E01000055,Aged 35 to 49 years,365
E01000055,Aged 50 to 64 years,306
E01000055,Aged 65 years and over,167
E01000056,Aged 15 years and under,434
E01000056,Aged 16 to 24 years,182
E01000056,Aged 25 to 34 years,246
E01000056,Aged 35 to 49 years,358
E01000056,Aged 50 to 64 years,295
E01000056,Aged 65 years and over,187
E01000057,Aged 15 years and under,402
E01000057,Aged 16 to 24 years,164
E01000057,Aged 25 to 34 years,223
E01000057,Aged 35 to 49 years,378
E01000057,Aged 50 to 64 years,226
E01000057,Aged 65 years and over,157
E01000058,Aged 15 years and under,544
E01000058,Aged 16 to 24 years,278
E01000058,Aged 25 to 34 years,288
E01000058,Aged 35 to 49 years,505
E01000058,Aged 50 to 64 years,368
E01000058,Aged 65 years and over,152
E01000059,Aged 15 years and under,413
E01000059,Aged 16 to 24 years,183
E01000059,Aged 25 to 34 years,240
E01000059,Aged 35 to 49 years,345
E01000059,Aged 50 to 64 years,301
E01000059,Aged 65 years and over,227
E01000060,Aged 15 years and under,629
E01000060,Aged 16 to 24 years,245
E01000060,Aged 25 to 34 years,281
E01000060,Aged 35 to 49 years,491
E01000060,Aged 50 to 64 years,328
E01000060,Aged 65 years and over,207
E01000061,Aged 15 years and under,545
E01000061,Aged 16 to 24 years,232
E01000061,Aged 25 to 34 years,374
E01000061,Aged 35 to 49 years,410
E01000061,Aged 50 to 64 years,254
E01000061,Aged 65 years and over,110
E01000062,Aged 15 years and under,537
E01000062,Aged 16 to 24 years,269
E01000062,Aged 25 to 34 years,329
E01000062,Aged 35 to 49 years,453
E01000062,Aged 50 to 64 years,381
E01000062,Aged 65 years and over,250
E01000063,Aged 15 years and under,446
E01000063,Aged 16 to 24 years,189
E01000063,Aged 25 to 34 years,241
E01000063,Aged 35 to 49 years,421
E01000063,Aged 50 to 64 years,312
E01000063,Aged 65 years and over,169
E01000064,Aged 15 years and under,561
E01000064,Aged 16 to 24 years,261
E01000064,Aged 25 to 34 years,326
E01000064,Aged 35 to 49 years,530
E01000064,Aged 50 to 64 years,371
E01000064,Aged 65 years and over,247
E01000065,Aged 15 years and under,446
E01000065,Aged 16 to 24 years,203
E01000065,Aged 25 to 34 years,240
E01000065,Aged 35 to 49 years,464
E01000065,Aged 50 to 64 years,365
E01000065,Aged 65 years and over,265
E01000066,Aged 15 years and under,580
E01000066,Aged 16 to 24 years,479
E01000066,Aged 25 to 34 years,318
E01000066,Aged 35 to 49 years,502
E01000066,Aged 50 to 64 years,359
E01000066,Aged 65 years and over,260
E01000067,Aged 15 years and under,561
E01000067,Aged 16 to 24 years,290
E01000067,Aged 25 to 34 years,330
E01000067,Aged 35 to 49 years,461
E01000067,Aged 50 to 64 years,359
E01000067,Aged 65 years and over,234
E01000068,Aged 15 years and under,317
E01000068,Aged 16 to 24 years,257
E01000068,Aged 25 to 34 years,287
E01000068,Aged 35 to 49 years,432
