Lower layer Super Output Areas Code,Country of birth (UK) (3 categories),Observation
E01000001,Does not apply,0
E01000001,Born in the UK,874
E01000001,Born outside the UK,601
E01000002,Does not apply,0
E01000002,Born in the UK,759
E01000002,Born outside the UK,625
E01000003,Does not apply,0
E01000003,Born in the UK,924
E01000003,Born outside the UK,689
E01000005,Does not apply,0
E01000005,Born in the UK,563
E01000005,Born outside the UK,537
E01000006,Does not apply,0
E01000006,Born in the UK,888
E01000006,Born outside the UK,957
E01000007,Does not apply,0
E01000007,Born in the UK,1219
E01000007,Born outside the UK,1689
E01000008,Does not apply,0
E01000008,Born in the UK,921
E01000008,Born outside the UK,874
E01000009,Does not apply,0
E01000009,Born in the UK,720
E01000009,Born outside the UK,1084
E01000011,Does not apply,0
E01000011,Born in the UK,665
E01000011,Born outside the UK,1036
E01000012,Does not apply,0
E01000012,Born in the UK,1075
E01000012,Born outside the UK,1272
E01000013,Does not apply,0
E01000013,Born in the UK,1120
E01000013,Born outside the UK,751
E01000014,Does not apply,0
E01000014,Born in the UK,1107
E01000014,Born outside the UK,644
E01000015,Does not apply,0
E01000015,Born in the UK,1494
E01000015,Born outside the UK,924
E01000016,Does not apply,0
E01000016,Born in the UK,1144
E01000016,Born outside the UK,709
E01000017,Does not apply,0
E01000017,Born in the UK,1077
E01000017,Born outside the UK,646
E01000018,Does not apply,0
E01000018,Born in the UK,1096
E01000018,Born outside the UK,680
E01000019,Does not apply,0
E01000019,Born in the UK,961
E01000019,Born outside the UK,696
E01000020,Does not apply,0
E01000020,Born in the UK,1332
E01000020,Born outside the UK,859
E01000021,Does not apply,0
E01000021,Born in the UK,997
E01000021,Born outside the UK,696
E01000022,Does not apply,0
E01000022,Born in the UK,892
E01000022,Born outside the UK,585
E01000024,Does not apply,0
E01000024,Born in the UK,882
E01000024,Born outside the UK,603
E01000025,Does not apply,0
E01000025,Born in the UK,1177
E01000025,Born outside the UK,741
E01000027,Does not apply,0
E01000027,Born in the UK,1495
E01000027,Born outside the UK,587
E01000028,Does not apply,0
E01000028,Born in the UK,1068
