Lower layer Super Output Areas Code,Economic activity status (4 categories),Observation
E01000001,Does not apply,125
E01000001,Economically active: In employment (including full-time students),866
E01000001,Economically active: Unemployed (including full-time students),39
E01000001,Economically inactive,449
E01000002,Does not apply,86
E01000002,Economically active: In employment (including full-time students),878
E01000002,Economically active: Unemployed (including full-time students),35
E01000002,Economically inactive,385
E01000003,Does not apply,110
E01000003,Economically active: In employment (including full-time students),1000
E01000003,Economically active: Unemployed (including full-time students),70
E01000003,Economically inactive,434
E01000005,Does not apply,139
E01000005,Economically active: In employment (including full-time students),498
E01000005,Economically active: Unemployed (including full-time students),76
E01000005,Economically inactive,388
E01000006,Does not apply,414
E01000006,Economically active: In employment (including full-time students),886
E01000006,Economically active: Unemployed (including full-time students),66
E01000006,Economically inactive,480
E01000007,Does not apply,748
E01000007,Economically active: In employment (including full-time students),1385
E01000007,Economically active: Unemployed (including full-time students),183
E01000007,Economically inactive,592
E01000008,Does not apply,537
E01000008,Economically active: In employment (including full-time students),647
E01000008,Economically active: Unemployed (including full-time students),82
E01000008,Economically inactive,529
E01000009,Does not apply,396
E01000009,Economically active: In employment (including full-time students),782
E01000009,Economically active: Unemployed (including full-time students),94
E01000009,Economically inactive,531
E01000011,Does not apply,382
E01000011,Economically active: In employment (including full-time students),737
E01000011,Economically active: Unemployed (including full-time students),80
E01000011,Economically inactive,503
E01000012,Does not apply,769
E01000012,Economically active: In employment (including full-time students),902
E01000012,Economically active: Unemployed (including full-time students),133
E01000012,Economically inactive,542
E01000013,Does not apply,473
E01000013,Economically active: In employment (including full-time students),799
E01000013,Economically active: Unemployed (including full-time students),91
E01000013,Economically inactive,508
E01000014,Does not apply,430
E01000014,Economically active: In employment (including full-time students),797
E01000014,Economically active: Unemployed (including full-time students),68
E01000014,Economically inactive,456
E01000015,Does not apply,684
E01000015,Economically active: In employment (including full-time students),1063
E01000015,Economically active: Unemployed (including full-time students),105
E01000015,Economically inactive,566
E01000016,Does not apply,451
E01000016,Economically active: In employment (including full-time students),862
E01000016,Economically active: Unemployed (including full-time students),63
E01000016,Economically inactive,476
E01000017,Does not apply,421
E01000017,Economically active: In employment (including full-time students),751
E01000017,Economically active: Unemployed (including full-time students),85
E01000017,Economically inactive,466
E01000018,Does not apply,421
E01000018,Economically active: In employment (including full-time students),833
E01000018,Economically active: Unemployed (including full-time students),73
E01000018,Economically inactive,449
E01000019,Does not apply,481
E01000019,Economically active: In employment (including full-time students),689
E01000019,Economically active: Unemployed (including full-time students),55
E01000019,Economically inactive,432
E01000020,Does not apply,584
E01000020,Economically active: In employment (including full-time students),892
E01000020,Economically active: Unemployed (including full-time students),115
E01000020,Economically inactive,601
E01000021,Does not apply,459
E01000021,Economically active: In employment (including full-time students),686
E01000021,Economically active: Unemployed (including full-time students),70
E01000021,Economically inactive,481
E01000022,Does not apply,385
E01000022,Economically active: In employment (including full-time students),638
E01000022,Economically active: Unemployed (including full-time students),59
E01000022,Economically inactive,395
E01000024,Does not apply,365
E01000024,Economically active: In employment (including full-time students),629
E01000024,Economically active: Unemployed (including full-time students),82
E01000024,Economically inactive,409
E01000025,Does not apply,473
E01000025,Economically active: In employment (including full-time students),837
E01000025,Economically active: Unemployed (including full-time students),76
E01000025,Economically inactive,531
E01000027,Does not apply,599
E01000027,Economically active: In employment (including full-time students),803
E01000027,Economically active: Unemployed (including full-time students),102
E01000027,Economically inactive,577
E01000028,Does not apply,468
E01000028,Economically active: In employment (including full-time students),686
E01000028,Economically active: Unemployed (including full-time students),78
E01000028,Economically inactive,586
E01000029,Does not apply,380
E01000029,Economically active: In employment (including full-time students),773
E01000029,Economically active: Unemployed (including full-time students),56
E01000029,Economically inactive,610
E01000030,Does not apply,849
E01000030,Economically active: In employment (including full-time students),976
E01000030,Economically active: Unemployed (including full-time students),118
E01000030,Economically inactive,620
E01000031,Does not apply,373
E01000031,Economically active: In employment (including full-time students),790
E01000031,Economically active: Unemployed (including full-time students),77
E01000031,Economically inactive,533
E01000032,Does not apply,492
E01000032,Economically active: In employment (including full-time students),882
E01000032,Economically active: Unemployed (including full-time students),93
E01000032,Economically inactive,610
E01000033,Does not apply,425
E01000033,Economically active: In employment (including full-time students),591
E01000033,Economically active: Unemployed (including full-time students),50
E01000033,Economically inactive,478
E01000034,Does not apply,309
E01000034,Economically active: In employment (including full-time students),654
E01000034,Economically active: Unemployed (including full-time students),61
E01000034,Economically inactive,552
E01000035,Does not apply,401
E01000035,Economically active: In employment (including full-time students),817
E01000035,Economically active: Unemployed (including full-time students),69
E01000035,Economically inactive,571
E01000036,Does not apply,310
E01000036,Economically active: In employment (including full-time students),693
E01000036,Economically active: Unemployed (including full-time students),62
E01000036,Economically inactive,405
E01000037,Does not apply,293
E01000037,Economically active: In employment (including full-time students),856
E01000037,Economically active: Unemployed (including full-time students),87
E01000037,Economically inactive,461
E01000038,Does not apply,329
E01000038,Economically active: In employment (including full-time students),782
E01000038,Economically active: Unemployed (including full-time students),59
E01000038,Economically inactive,447
E01000039,Does not apply,395
E01000039,Economically active: In employment (including full-time students),822
E01000039,Economically active: Unemployed (including full-time students),51
E01000039,Economically inactive,484
E01000040,Does not apply,472
E01000040,Economically active: In employment (including full-time students),739
E01000040,Economically active: Unemployed (including full-time students),88
E01000040,Economically inactive,580
E01000041,Does not apply,465
E01000041,Economically active: In employment (including full-time students),823
E01000041,Economically active: Unemployed (including full-time students),96
E01000041,Economically inactive,458
E01000042,Does not apply,557
E01000042,Economically active: In employment (including full-time students),709
E01000042,Economically active: Unemployed (including full-time students),82
E01000042,Economically inactive,534
E01000043,Does not apply,323
E01000043,Economically active: In employment (including full-time students),703
E01000043,Economically active: Unemployed (including full-time students),86
E01000043,Economically inactive,427
E01000044,Does not apply,482
E01000044,Economically active: In employment (including full-time students),897
E01000044,Economically active: Unemployed (including full-time students),87
E01000044,Economically inactive,522
E01000045,Does not apply,440
E01000045,Economically active: In employment (including full-time students),728
E01000045,Economically active: Unemployed (including full-time students),79
E01000045,Economically inactive,476
E01000046,Does not apply,504
E01000046,Economically active: In employment (including full-time students),859
E01000046,Economically active: Unemployed (including full-time students),92
E01000046,Economically inactive,501
E01000049,Does not apply,617
E01000049,Economically active: In employment (including full-time students),679
E01000049,Economically active: Unemployed (including full-time students),113
E01000049,Economically inactive,564
E01000050,Does not apply,473
E01000050,Economically active: In employment (including full-time students),816
E01000050,Economically active: Unemployed (including full-time students),54
E01000050,Economically inactive,496
E01000051,Does not apply,321
E01000051,Economically active: In employment (including full-time students),573
E01000051,Economically active: Unemployed (including full-time students),50
E01000051,Economically inactive,164
E01000052,Does not apply,665
E01000052,Economically active: In employment (including full-time students),970
E01000052,Economically active: Unemployed (including full-time students),86
E01000052,Economically inactive,647
E01000053,Does not apply,408
E01000053,Economically active: In employment (including full-time students),690
E01000053,Economically active: Unemployed (including full-time students),64
E01000053,Economically inactive,455
E01000054,Does not apply,501
E01000054,Economically active: In employment (including full-time students),821
E01000054,Economically active: Unemployed (including full-time students),70
E01000054,Economically inactive,478
E01000055,Does not apply,421
E01000055,Economically active: In employment (including full-time students),748
E01000055,Economically active: Unemployed (including full-time students),58
E01000055,Economically inactive,478
E01000056,Does not apply,434
E01000056,Economically active: In employment (including full-time students),706
E01000056,Economically active: Unemployed (including full-time students),76
E01000056,Economically inactive,486
E01000057,Does not apply,402
E01000057,Economically active: In employment (including full-time students),656
E01000057,Economically active: Unemployed (including full-time students),75
E01000057,Economically inactive,418
E01000058,Does not apply,544
E01000058,Economically active: In employment (including full-time students),923
E01000058,Economically active: Unemployed (including full-time students),120
E01000058,Economically inactive,548
E01000059,Does not apply,413
E01000059,Economically active: In employment (including full-time students),784
E01000059,Economically active: Unemployed (including full-time students),64
E01000059,Economically inactive,450
E01000060,Does not apply,629
E01000060,Economically active: In employment (including full-time students),870
E01000060,Economically active: Unemployed (including full-time students),96
E01000060,Economically inactive,585
E01000061,Does not apply,545
E01000061,Economically active: In employment (including full-time students),759
E01000061,Economically active: Unemployed (including full-time students),101
E01000061,Economically inactive,521
E01000062,Does not apply,537
E01000062,Economically active: In employment (including full-time students),1023
E01000062,Economically active: Unemployed (including full-time students),66
E01000062,Economically inactive,592
E01000063,Does not apply,446
E01000063,Economically active: In employment (including full-time students),800
E01000063,Economically active: Unemployed (including full-time students),69
E01000063,Economically inactive,463
E01000064,Does not apply,561
E01000064,Economically active: In employment (including full-time students),1025
E01000064,Economically active: Unemployed (including full-time students),80
E01000064,Economically inactive,630
E01000065,Does not apply,446
E01000065,Economically active: In employment (including full-time students),814
E01000065,Economically active: Unemployed (including full-time students),97
E01000065,Economically inactive,623
E01000066,Does not apply,580
E01000066,Economically active: In employment (including full-time students),973
E01000066,Economically active: Unemployed (including full-time students),73
E01000066,Economically inactive,875
E01000067,Does not apply,561
E01000067,Economically active: In employment (including full-time students),931
E01000067,Economically active: Unemployed (including full-time students),96
E01000067,Economically inactive,649
E01000068,Does not apply,317
E01000068,Economically active: In employment (including full-time students),848
E01000068,Economically active: Unemployed (including full-time students),52
E01000068,Economically inactive,578
E01000069,Does not apply,445
E01000069,Economically active: In employment (including full-time students),1017
E01000069,Economically active: Unemployed (including full-time students),70
E01000069,Economically inactive,564
E01000070,Does not apply,468
E01000070,Economically active: In employment (including full-time students),891
E01000070,Economically active: Unemployed (including full-time students),93
E01000070,Economically inactive,621
E01000071,Does not apply,612
E01000071,Economically active: In employment (including full-time students),1213
E01000071,Economically active: Unemployed (including full-time students),90
E01000071,Economically inactive,691
E01000072,Does not apply,588
E01000072,Economically active: In employment (including full-time students),870
E01000072,Economically active: Unemployed (including full-time students),92
E01000072,Economically inactive,599
E01000073,Does not apply,487
E01000073,Economically active: In employment (including full-time students),788
E01000073,Economically active: Unemployed (including full-time students),39
E01000073,Economically inactive,534
E01000074,Does not apply,475
E01000074,Economically active: In employment (including full-time students),753
E01000074,Economically active: Unemployed (including full-time students),73
E01000074,Economically inactive,458
E01000075,Does not apply,536
E01000075,Economically active: In employment (including full-time students),954
E01000075,Economically active: Unemployed (including full-time students),63
E01000075,Economically inactive,527
E01000076,Does not apply,532
E01000076,Economically active: In employment (including full-time students),854
E01000076,Economically active: Unemployed (including full-time students),100
E01000076,Economically inactive,675
E01000077,Does not apply,426
E01000077,Economically active: In employment (including full-time students),712
E01000077,Economically active: Unemployed (including full-time students),73
E01000077,Economically inactive,507
E01000078,Does not apply,546
E01000078,Economically active: In employment (including full-time students),782
E01000078,Economically active: Unemployed (including full-time students),71
E01000078,Economically inactive,500
E01000079,Does not apply,433
E01000079,Economically active: In employment (including full-time students),722
E01000079,Economically active: Unemployed (including full-time students),59
E01000079,Economically inactive,502
E01000080,Does not apply,441
E01000080,Economically active: In employment (including full-time students),828
E01000080,Economically active: Unemployed (including full-time students),62
E01000080,Economically inactive,447
E01000081,Does not apply,471
E01000081,Economically active: In employment (including full-time students),889
E01000081,Economically active: Unemployed (including full-time students),115
E01000081,Economically inactive,500
E01000082,Does not apply,471
E01000082,Economically active: In employment (including full-time students),858
E01000082,Economically active: Unemployed (including full-time students),70
E01000082,Economically inactive,515
E01000083,Does not apply,537
E01000083,Economically active: In employment (including full-time students),777
E01000083,Economically active: Unemployed (including full-time students),85
E01000083,Economically inactive,520
E01000084,Does not apply,352
E01000084,Economically active: In employment (including full-time students),633
E01000084,Economically active: Unemployed (including full-time students),55
E01000084,Economically inactive,396
E01000085,Does not apply,404
E01000085,Economically active: In employment (including full-time students),731
E01000085,Economically active: Unemployed (including full-time students),97
E01000085,Economically inactive,414
E01000086,Does not apply,358
E01000086,Economically active: In employment (including full-time students),638
E01000086,Economically active: Unemployed (including full-time students),60
E01000086,Economically inactive,393
E01000087,Does not apply,413
E01000087,Economically active: In employment (including full-time students),701
E01000087,Economically active: Unemployed (including full-time students),69
E01000087,Economically inactive,453
E01000088,Does not apply,539
E01000088,Economically active: In employment (including full-time students),808
E01000088,Economically active: Unemployed (including full-time students),74
E01000088,Economically inactive,554
E01000089,Does not apply,546
E01000089,Economically active: In employment (including full-time students),776
E01000089,Economically active: Unemployed (including full-time students),70
E01000089,Economically inactive,432
E01000090,Does not apply,485
E01000090,Economically active: In employment (including full-time students),732
E01000090,Economically active: Unemployed (including full-time students),67
E01000090,Economically inactive,423
E01000091,Does not apply,616
E01000091,Economically active: In employment (including full-time students),804
E01000091,Economically active: Unemployed (including full-time students),106
E01000091,Economically inactive,565
E01000093,Does not apply,480
E01000093,Economically active: In employment (including full-time students),690
E01000093,Economically active: Unemployed (including full-time students),63
E01000093,Economically inactive,575
E01000094,Does not apply,763
E01000094,Economically active: In employment (including full-time students),1126
E01000094,Economically active: Unemployed (including full-time students),111
E01000094,Economically inactive,463
E01000095,Does not apply,740
