Lower layer Super Output Areas Code,Workday Population Density (per square kilometre)
E01000011,14623.8
E01000046,9311.9
E01000051,13318.3
E01000077,8475.3
E01000083,8176.8
E01032580,11344.8
E01034472,30021.1
E01000006,9420.2
E01000009,13573.1
E01000022,8760.7
E01000074,8855.1
E01000084,7780
E01000089,9319.6
E01000097,8973.2
E01000113,10545.8
E01034470,9342.5
E01034473,16749.5
E01034477,11068.1
E01000012,13689.5
E01000017,8301.8
E01000024,8771.4
E01000038,5941.1
E01000040,9953.1
E01000041,8899.1
E01000043,5427.9
E01000050,11692.1
E01000058,8699.2
E01000076,9580.5
E01000081,8084
E01000082,9147.5
E01000085,8885.1
E01000086,8237
E01000025,9491.5
E01000028,10312.9
E01000033,8086.7
E01000042,6388.4
E01000052,9544.3
E01000055,8774
E01000063,7847.7
E01000078,9112.6
E01034474,12891.6
E01000016,7469.8
E01000018,8539.4
E01000044,9296.6
E01000049,7828.5
E01000066,9501.8
E01000067,8851.9
E01000101,8169.6
E01000108,6208.2
E01000110,6685.5
E01000021,8553.8
E01000037,5942.6
E01000054,8966.1
E01000059,6695.4
E01034471,13873.6
E01000007,13855
E01000008,10563
E01000057,8578.2
E01000062,7523.7
E01000064,9066.1
E01000065,9058.2
E01000099,8057.4
E01000104,6762
E01000106,8354.6
E01000114,8579.2
E01000019,7822.1
E01000053,7866.2
E01000100,7763.6
E01033587,9777
E01034469,5882.6
E01034479,10111.8
E01000020,9562
E01000069,8344.1
E01000075,3181.3
E01000088,8427.6
E01000091,7104
E01000102,5858.4
E01000013,8517.8
E01000015,6721.3
E01000068,4983.8
E01000045,5246.4
E01000056,6309.5
E01000071,8640.1
E01000079,4492.9
E01000105,9547.3
E01000035,5696.3
E01000073,5414.6
E01000087,3896.9
E01000098,9053.6
E01000032,5320.9
E01000072,3366
E01000080,6990.9
E01000093,6215.1
E01000111,7296
E01000112,7073.9
E01000014,3842.3
E01000029,5539.1
E01000070,4895.4
E01000061,3207.2
E01000103,1997.7
E01000036,3491.8
E01000107,2977.6
E01000096,3389.8
E01000030,7304.5
E01034475,3889.2
E01034476,4166.2
E01000031,2021.6
E01000094,3750.2
E01000060,4280.8
E01000034,3282.7
E01000027,1322.5
E01000039,922.4
E01000090,1912.1
E01034478,1135.2
E01000095,2284.7
E01033917,59571.9
E01033918,18753.5
E01033919,17993.1
E01033921,33500
E01000133,8586.1
E01000181,12325.4
E01000185,9684.5
E01000189,13370.4
E01000226,7543.4
E01000306,9938.6
E01000312,9904.5
E01033916,10272.8
E01033922,22847.4
E01033923,14685.2
E01000126,10953.6
E01000134,10075.3
E01000137,12187
E01000145,7276.7
E01000151,12341.8
E01000154,13986.6
E01000165,7683.6
E01000217,7022.4
E01000219,9173.6
E01000236,7406.3
E01033913,14486
E01000140,12181.1
E01000143,8086
E01000147,7899.2
E01000182,7696.2
E01000216,9323.1
E01000224,9021.8
E01000238,8550.5
E01000242,5222.4
E01000277,7832.4
E01000295,7257.6
E01000297,5687.8
E01000299,15054.5
E01000300,8703.2
E01000304,6965.1
E01000317,8370.5
E01000319,7673
E01033915,7587.7
E01000130,8901.9
E01000163,7471.3
E01000179,11429.6
E01000215,8656.3
E01000220,13059.4
E01000269,4572.9
E01000293,5632.3
