Lower layer Super Output Areas Code,Tenure of household (7 categories),Observation
E01000001,Does not apply,0
E01000001,Owned: Owns outright,337
E01000001,Owned: Owns with a mortgage or loan or shared ownership,148
E01000001,Social rented: Rents from council or Local Authority,18
E01000001,Social rented: Other social rented,4
E01000001,Private rented: Private landlord or letting agency,280
E01000001,Private rented: Other private rented or lives rent free,51
E01000002,Does not apply,0
E01000002,Owned: Owns outright,284
E01000002,Owned: Owns with a mortgage or loan or shared ownership,151
E01000002,Social rented: Rents from council or Local Authority,23
E01000002,Social rented: Other social rented,4
E01000002,Private rented: Private landlord or letting agency,326
E01000002,Private rented: Other private rented or lives rent free,38
E01000003,Does not apply,0
E01000003,Owned: Owns outright,231
E01000003,Owned: Owns with a mortgage or loan or shared ownership,147
E01000003,Social rented: Rents from council or Local Authority,250
E01000003,Social rented: Other social rented,52
E01000003,Private rented: Private landlord or letting agency,292
E01000003,Private rented: Other private rented or lives rent free,43
E01000005,Does not apply,0
E01000005,Owned: Owns outright,19
E01000005,Owned: Owns with a mortgage or loan or shared ownership,22
E01000005,Social rented: Rents from council or Local Authority,148
E01000005,Social rented: Other social rented,185
E01000005,Private rented: Private landlord or letting agency,91
E01000005,Private rented: Other private rented or lives rent free,16
E01000006,Does not apply,0
E01000006,Owned: Owns outright,111
E01000006,Owned: Owns with a mortgage or loan or shared ownership,163
E01000006,Social rented: Rents from council or Local Authority,13
E01000006,Social rented: Other social rented,9
E01000006,Private rented: Private landlord or letting agency,228
E01000006,Private rented: Other private rented or lives rent free,29
E01000007,Does not apply,0
E01000007,Owned: Owns outright,34
E01000007,Owned: Owns with a mortgage or loan or shared ownership,284
E01000007,Social rented: Rents from council or Local Authority,261
E01000007,Social rented: Other social rented,191
E01000007,Private rented: Private landlord or letting agency,398
E01000007,Private rented: Other private rented or lives rent free,24
E01000008,Does not apply,0
E01000008,Owned: Owns outright,32
E01000008,Owned: Owns with a mortgage or loan or shared ownership,56
E01000008,Social rented: Rents from council or Local Authority,296
E01000008,Social rented: Other social rented,14
E01000008,Private rented: Private landlord or letting agency,135
E01000008,Private rented: Other private rented or lives rent free,15
E01000009,Does not apply,0
E01000009,Owned: Owns outright,109
E01000009,Owned: Owns with a mortgage or loan or shared ownership,91
E01000009,Social rented: Rents from council or Local Authority,102
E01000009,Social rented: Other social rented,14
E01000009,Private rented: Private landlord or letting agency,271
E01000009,Private rented: Other private rented or lives rent free,11
E01000011,Does not apply,0
E01000011,Owned: Owns outright,101
E01000011,Owned: Owns with a mortgage or loan or shared ownership,97
E01000011,Social rented: Rents from council or Local Authority,17
E01000011,Social rented: Other social rented,11
E01000011,Private rented: Private landlord or letting agency,229
E01000011,Private rented: Other private rented or lives rent free,18
E01000012,Does not apply,0
E01000012,Owned: Owns outright,70
E01000012,Owned: Owns with a mortgage or loan or shared ownership,156
E01000012,Social rented: Rents from council or Local Authority,71
E01000012,Social rented: Other social rented,152
E01000012,Private rented: Private landlord or letting agency,312
E01000012,Private rented: Other private rented or lives rent free,21
E01000013,Does not apply,0
E01000013,Owned: Owns outright,86
E01000013,Owned: Owns with a mortgage or loan or shared ownership,170
E01000013,Social rented: Rents from council or Local Authority,167
E01000013,Social rented: Other social rented,22
E01000013,Private rented: Private landlord or letting agency,151
E01000013,Private rented: Other private rented or lives rent free,24
E01000014,Does not apply,0
E01000014,Owned: Owns outright,111
E01000014,Owned: Owns with a mortgage or loan or shared ownership,175
E01000014,Social rented: Rents from council or Local Authority,180
E01000014,Social rented: Other social rented,34
E01000014,Private rented: Private landlord or letting agency,118
E01000014,Private rented: Other private rented or lives rent free,13
E01000015,Does not apply,0
E01000015,Owned: Owns outright,93
E01000015,Owned: Owns with a mortgage or loan or shared ownership,260
E01000015,Social rented: Rents from council or Local Authority,212
E01000015,Social rented: Other social rented,47
E01000015,Private rented: Private landlord or letting agency,201
E01000015,Private rented: Other private rented or lives rent free,22
E01000016,Does not apply,0
E01000016,Owned: Owns outright,110
E01000016,Owned: Owns with a mortgage or loan or shared ownership,206
E01000016,Social rented: Rents from council or Local Authority,175
E01000016,Social rented: Other social rented,26
E01000016,Private rented: Private landlord or letting agency,100
E01000016,Private rented: Other private rented or lives rent free,11
E01000017,Does not apply,0
E01000017,Owned: Owns outright,90
E01000017,Owned: Owns with a mortgage or loan or shared ownership,191
E01000017,Social rented: Rents from council or Local Authority,180
E01000017,Social rented: Other social rented,32
E01000017,Private rented: Private landlord or letting agency,88
E01000017,Private rented: Other private rented or lives rent free,17
E01000018,Does not apply,0
E01000018,Owned: Owns outright,104
E01000018,Owned: Owns with a mortgage or loan or shared ownership,172
E01000018,Social rented: Rents from council or Local Authority,182
E01000018,Social rented: Other social rented,65
E01000018,Private rented: Private landlord or letting agency,117
E01000018,Private rented: Other private rented or lives rent free,6
E01000019,Does not apply,0
E01000019,Owned: Owns outright,79
E01000019,Owned: Owns with a mortgage or loan or shared ownership,151
E01000019,Social rented: Rents from council or Local Authority,109
E01000019,Social rented: Other social rented,15
E01000019,Private rented: Private landlord or letting agency,138
E01000019,Private rented: Other private rented or lives rent free,7
E01000020,Does not apply,0
E01000020,Owned: Owns outright,82
E01000020,Owned: Owns with a mortgage or loan or shared ownership,221
E01000020,Social rented: Rents from council or Local Authority,182
E01000020,Social rented: Other social rented,27
E01000020,Private rented: Private landlord or letting agency,133
E01000020,Private rented: Other private rented or lives rent free,19
E01000021,Does not apply,0
E01000021,Owned: Owns outright,70
E01000021,Owned: Owns with a mortgage or loan or shared ownership,144
E01000021,Social rented: Rents from council or Local Authority,125
E01000021,Social rented: Other social rented,34
E01000021,Private rented: Private landlord or letting agency,193
E01000021,Private rented: Other private rented or lives rent free,24
E01000022,Does not apply,0
E01000022,Owned: Owns outright,78
E01000022,Owned: Owns with a mortgage or loan or shared ownership,176
E01000022,Social rented: Rents from council or Local Authority,104
E01000022,Social rented: Other social rented,15
E01000022,Private rented: Private landlord or letting agency,87
E01000022,Private rented: Other private rented or lives rent free,20
E01000024,Does not apply,0
E01000024,Owned: Owns outright,72
E01000024,Owned: Owns with a mortgage or loan or shared ownership,155
E01000024,Social rented: Rents from council or Local Authority,129
E01000024,Social rented: Other social rented,16
E01000024,Private rented: Private landlord or letting agency,81
E01000024,Private rented: Other private rented or lives rent free,6
E01000025,Does not apply,0
E01000025,Owned: Owns outright,93
E01000025,Owned: Owns with a mortgage or loan or shared ownership,190
E01000025,Social rented: Rents from council or Local Authority,222
E01000025,Social rented: Other social rented,62
E01000025,Private rented: Private landlord or letting agency,111
E01000025,Private rented: Other private rented or lives rent free,17
E01000027,Does not apply,0
E01000027,Owned: Owns outright,86
E01000027,Owned: Owns with a mortgage or loan or shared ownership,182
E01000027,Social rented: Rents from council or Local Authority,143
E01000027,Social rented: Other social rented,159
E01000027,Private rented: Private landlord or letting agency,84
E01000027,Private rented: Other private rented or lives rent free,8
E01000028,Does not apply,0
E01000028,Owned: Owns outright,61
E01000028,Owned: Owns with a mortgage or loan or shared ownership,134
E01000028,Social rented: Rents from council or Local Authority,259
E01000028,Social rented: Other social rented,57
E01000028,Private rented: Private landlord or letting agency,96
E01000028,Private rented: Other private rented or lives rent free,14
E01000029,Does not apply,0
E01000029,Owned: Owns outright,284
E01000029,Owned: Owns with a mortgage or loan or shared ownership,233
E01000029,Social rented: Rents from council or Local Authority,40
E01000029,Social rented: Other social rented,10
E01000029,Private rented: Private landlord or letting agency,104
E01000029,Private rented: Other private rented or lives rent free,10
E01000030,Does not apply,0
E01000030,Owned: Owns outright,76
E01000030,Owned: Owns with a mortgage or loan or shared ownership,190
E01000030,Social rented: Rents from council or Local Authority,479
E01000030,Social rented: Other social rented,51
E01000030,Private rented: Private landlord or letting agency,96
E01000030,Private rented: Other private rented or lives rent free,13
E01000031,Does not apply,0
E01000031,Owned: Owns outright,186
E01000031,Owned: Owns with a mortgage or loan or shared ownership,231
E01000031,Social rented: Rents from council or Local Authority,30
E01000031,Social rented: Other social rented,8
E01000031,Private rented: Private landlord or letting agency,127
E01000031,Private rented: Other private rented or lives rent free,13
E01000032,Does not apply,0
