lsoa21cd,resident_pop_density
E01000027 ,1412.0
E01000028 ,12635.6
E01000029 ,7080.6
E01000030 ,8949.0
E01000031 ,2098.6
E01000032 ,5534.0
E01000110 ,8083.2
E01000111 ,7265.7
E01000112 ,7102.7
E01000113 ,12950.0
E01000034 ,3066.6
E01000037 ,7270.8
E01000038 ,7547.9
E01000039 ,1143.8
E01000063 ,9812.4
E01000100 ,9182.0
E01000101 ,10366.1
E01000114 ,9441.8
E01034469 ,6921.9
E01034470 ,12167.2
E01000033 ,10619.4
E01000060 ,3964.4
E01000061 ,3153.2
E01000062 ,10022.6
E01000064 ,10996.2
E01000065 ,8484.6
E01000078 ,10802.0
E01000080 ,7682.7
E01000081 ,10635.1
E01000082 ,11904.2
E01000083 ,10667.0
E01000102 ,7057.0
E01000021 ,9953.0
E01000022 ,11512.1
E01000024 ,11547.4
E01000025 ,12516.3
E01000077 ,9890.7
E01034471 ,16808.5
E01034472 ,39746.8
E01000015 ,8617.2
E01000016 ,9310.9
E01000017 ,10871.2
E01000018 ,10212.8
E01000079 ,5542.6
E01000035 ,4681.4
E01000036 ,3510.9
E01000107 ,3332.1
E01000108 ,7910.0
E01000066 ,10204.2
E01000067 ,11620.8
E01000069 ,10453.9
E01000070 ,5291.0
E01000071 ,9630.5
E01000057 ,10494.2
E01000073 ,6493.3
E01000074 ,10712.5
E01000075 ,4020.1
E01000076 ,11331.9
E01000013 ,9003.8
E01000014 ,5131.9
E01000059 ,8201.4
E01000084 ,9586.7
E01000085 ,11328.3
E01000086 ,10342.6
E01000103 ,2528.2
E01000104 ,8696.6
E01000105 ,10556.8
E01000106 ,10059.3
E01000007 ,14540.0
E01000008 ,9271.7
E01000012 ,16702.3
E01034473 ,8985.1
E01034474 ,10657.8
E01000006 ,12585.3
E01000009 ,14104.8
E01000011 ,18549.6
E01000044 ,11641.3
E01000068 ,5284.1
E01000041 ,12070.8
E01000042 ,8140.1
E01000045 ,5776.1
E01000046 ,12578.8
E01000072 ,4131.1
E01000054 ,10928.7
E01000055 ,11678.1
E01000056 ,6986.9
E01000058 ,11717.9
E01000095 ,982.2
E01000040 ,11007.6
E01000043 ,5769.5
E01000050 ,13355.1
E01000052 ,11857.8
E01034475 ,3458.1
E01034476 ,2582.2
E01034477 ,13322.1
E01034478 ,930.8
E01000053 ,8938.6
E01000087 ,4390.8
E01000088 ,8723.5
E01000089 ,12536.1
E01000090 ,874.1
E01000049 ,9293.5
E01000051 ,16621.6
E01033587 ,9130.1
E01034479 ,10714.3
E01000091 ,8493.1
E01000093 ,6157.2
E01000094 ,4081.9
E01000096 ,2752.3
E01000019 ,9044.8
E01000020 ,11704.1
E01000097 ,10786.8
E01000098 ,11037.6
E01000099 ,8964.2
E01032580 ,12087.6
E01000248 ,6288.8
E01000249 ,1984.3
E01000250 ,4485.9
E01000254 ,1047.9
E01000292 ,5366.4
E01000293 ,6476.6
E01000167 ,2308.1
E01000246 ,1412.1
E01000247 ,6380.7
E01000251 ,10143.5
E01000252 ,7301.0
E01000166 ,4381.9
E01000168 ,4829.6
E01000169 ,6838.6
E01000172 ,3107.8
E01000285 ,7486.4
E01000287 ,5963.4
E01000288 ,4587.5
E01000289 ,5629.4
E01000291 ,6254.0
E01000294 ,5469.6
E01000267 ,5463.3
E01000268 ,8221.1
E01000269 ,5103.1
E01000270 ,6131.0
E01000170 ,6428.3
E01000171 ,6873.9
E01000173 ,4621.3
E01000174 ,9336.5
E01000175 ,4055.5
E01000228 ,497.6
E01000253 ,597.2
E01000279 ,270.7
E01000280 ,1315.8
E01000286 ,6378.2
E01000290 ,791.7
E01000271 ,4788.1
E01000272 ,3036.6
E01000273 ,5069.8
E01000281 ,6645.6
E01000282 ,3419.7
E01000115 ,5091.2
E01000116 ,7116.6
E01000119 ,4511.8
E01000120 ,6099.6
E01000122 ,6404.1
E01000117 ,5241.5
E01000118 ,7187.0
E01000121 ,3924.0
E01000123 ,3341.6
E01000124 ,7301.5
E01000265 ,9117.6
E01000266 ,2235.7
E01000274 ,7245.5
E01000320 ,8289.8
E01000322 ,9086.0
E01000275 ,5255.2
E01000277 ,8929.7
E01000283 ,4148.3
E01000284 ,6543.5
E01000321 ,11199.3
E01000195 ,6405.5
E01000229 ,5968.5
E01000230 ,7212.8
E01000231 ,4895.9
E01000232 ,6270.1
E01000233 ,7321.5
E01000186 ,6947.8
E01000187 ,8052.9
E01000188 ,494.8
E01000189 ,15240.7
E01000190 ,6974.2
E01000191 ,6091.2
E01000158 ,5414.2
E01000159 ,3620.5
E01000160 ,6462.8
E01000161 ,8387.6
E01000162 ,9045.5
E01000324 ,6746.5
E01000256 ,3431.2
E01000258 ,2370.6
E01000263 ,3878.4
E01000264 ,4813.8
E01000255 ,1591.8
E01000257 ,3073.1
E01000261 ,1476.5
E01033911 ,941.4
E01033912 ,7939.4
E01000192 ,7031.7
E01000193 ,6410.0
E01000194 ,5734.1
E01000226 ,10028.9
E01000227 ,7306.5
E01000299 ,13432.2
E01000300 ,9608.1
E01000302 ,8280.3
E01000317 ,9273.2
E01000318 ,7069.4
E01000323 ,11050.4
E01000276 ,2999.2
E01000278 ,5361.4
E01000301 ,5236.4
E01000303 ,6937.6
E01000304 ,8766.9
E01000130 ,11325.9
E01000132 ,10534.2
E01000133 ,10572.0
E01000234 ,6445.9
E01000235 ,5307.9
E01000156 ,11255.6
E01000157 ,12565.5
E01000163 ,8834.9
E01000164 ,3129.2
E01000165 ,9784.0
E01000315 ,3361.0
E01000197 ,6682.3
E01000295 ,7908.9
E01000296 ,7979.4
E01000298 ,6432.3
E01000127 ,7761.7
E01000128 ,8302.3
